Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Day,Model,Estimation_Method,Distribution
0.013699872,-0.28041092,-0.5818223,-0.19692668,0.0798363,-0.09996172,-0.23923032,1.4205905,-0.721232,1.6054572,66,Sequential RNN,MAP,t-Distribution
0.049787723,-0.30020985,-0.5368522,-0.24212192,0.25734198,0.290437,-0.21442862,1.2458403,-0.71113986,1.1613454,67,Sequential RNN,MAP,t-Distribution
0.07637195,-0.36156908,-0.59665453,-0.24163193,0.11168382,0.39358082,-0.26778308,1.6047468,-0.8740528,1.155308,68,Sequential RNN,MAP,t-Distribution
-0.0074658333,-0.2616656,-0.617353,-0.16380017,0.20439264,0.35807422,-0.14199772,1.0049082,-0.7737294,1.3986367,69,Sequential RNN,MAP,t-Distribution
-0.011146059,-0.30274355,-0.52490485,-0.22475138,0.16670516,0.31957698,-0.23646376,1.4625115,-0.821013,1.1722289,70,Sequential RNN,MAP,t-Distribution
-0.023420786,-0.2705974,-0.6986263,-0.13581029,0.1299968,-0.04938589,-0.17502737,1.0854095,-0.71221554,1.8496773,71,Sequential RNN,MAP,t-Distribution
0.026584867,-0.24676678,-0.48810938,-0.107301846,0.14386086,0.98513615,-0.095167056,0.8127347,-0.91262484,0.8816533,72,Sequential RNN,MAP,t-Distribution
0.051083773,-0.20014647,-0.55891854,-0.1125679,0.16247953,0.5258977,-0.04640946,0.62142503,-0.81160486,1.3687612,73,Sequential RNN,MAP,t-Distribution
-0.002769581,-0.17856319,-0.5216763,-0.10437691,0.22810552,0.16154778,-0.09427233,0.66274285,-0.6872057,1.5364679,74,Sequential RNN,MAP,t-Distribution
0.09770756,-0.20651698,-0.52743906,-0.09049453,0.17380951,0.7890435,-0.033391315,0.55810416,-0.9010931,1.1402702,75,Sequential RNN,MAP,t-Distribution
-0.04029635,-0.2422823,-0.6480163,-0.13159278,0.24744496,0.3054885,-0.12197201,0.90828484,-0.77257127,1.4955126,76,Sequential RNN,MAP,t-Distribution
-0.038967334,-0.07440205,-0.6376437,-0.029392922,0.05439096,-0.6134146,-0.055268027,0.346709,-0.3141685,2.362157,77,Sequential RNN,MAP,t-Distribution
0.12443679,-0.17512693,-0.63085234,-0.030458596,0.20964931,0.6073801,-0.027024526,0.34726027,-0.8060897,1.3808256,78,Sequential RNN,MAP,t-Distribution
-0.019777313,-0.1798973,-0.5237122,-0.06329149,0.15085329,0.53449845,-0.08231476,0.6726709,-0.90496475,1.4159352,79,Sequential RNN,MAP,t-Distribution
0.12625061,-0.105537556,-0.4974459,0.0042244117,0.24934857,0.4644781,0.03230678,0.098258734,-0.56119776,1.189314,80,Sequential RNN,MAP,t-Distribution
-0.024771495,-0.2784026,-0.6794197,-0.14737667,0.12092875,0.24666147,-0.20759577,1.2818173,-0.887518,1.5756767,81,Sequential RNN,MAP,t-Distribution
0.024078963,-0.22081889,-0.5503061,-0.19707029,0.15654214,-0.5175515,-0.26600152,1.1598073,-0.33235678,1.7436765,82,Sequential RNN,MAP,t-Distribution
0.063584365,-0.11787088,-0.55111814,-0.033836465,0.115914784,0.1739523,-0.048917957,0.3952231,-0.7350423,1.7381111,83,Sequential RNN,MAP,t-Distribution
0.0024333447,-0.06923502,-0.4574172,-0.077214636,0.31013766,-0.070188254,0.014450695,0.19765644,-0.4284259,1.5778029,84,Sequential RNN,MAP,t-Distribution
0.06811815,-0.20448804,-0.5485936,-0.10225617,0.16213684,0.5297717,-0.096878074,0.7366103,-0.8811289,1.3367077,85,Sequential RNN,MAP,t-Distribution
-0.020936595,-0.2920225,-0.52838176,-0.17523074,0.1370334,0.51500237,-0.22993423,1.4329519,-0.87191164,1.0334297,86,Sequential RNN,MAP,t-Distribution
0.062485076,-0.20646392,-0.5423542,-0.14039609,0.13957746,0.33272424,-0.108516775,0.81855196,-0.7984633,1.4428555,87,Sequential RNN,MAP,t-Distribution
0.018737905,-0.23153175,-0.55653095,-0.15932041,0.12832282,0.21850125,-0.146824,1.0169983,-0.75421435,1.4658612,88,Sequential RNN,MAP,t-Distribution
-0.02795556,0.003398564,-0.25777102,0.17638771,0.26960754,0.5841012,0.23456915,-0.90337265,-0.199644,1.1206791,89,Sequential RNN,MAP,t-Distribution
0.051232733,-0.1291885,-0.48059857,-0.084451586,0.20429508,0.21839473,-0.025175866,0.3988817,-0.65882486,1.5054351,90,Sequential RNN,MAP,t-Distribution
0.15332644,-0.1573364,-0.49989653,-0.05080141,0.1652917,1.1159252,0.09578817,0.10104554,-0.8903452,0.9670025,91,Sequential RNN,MAP,t-Distribution
-0.041866455,-0.017758176,-0.47602,0.104235664,0.21707058,0.43502215,0.1535759,-0.34580162,-0.67653024,1.6480722,92,Sequential RNN,MAP,t-Distribution
0.0211469,0.024099184,-0.525799,-0.011853132,0.1421313,-0.43863904,0.031480808,0.0044349544,-0.34033102,2.093329,93,Sequential RNN,MAP,t-Distribution
-0.050208725,-0.09019263,-0.686888,-0.05780157,0.17316185,-0.4124877,-0.039011028,0.35759306,-0.5088464,2.314681,94,Sequential RNN,MAP,t-Distribution
-0.0015419523,0.06614159,-0.58049464,0.24958244,0.15466796,-0.34834442,0.13416079,-0.67070085,-0.013878195,2.0104072,95,Sequential RNN,MAP,t-Distribution
0.017851159,-0.010677715,-0.12018611,0.103394926,0.20269735,1.5472901,0.32049146,-0.7239696,-0.764796,0.42790437,96,Sequential RNN,MAP,t-Distribution
0.085194536,0.11344105,-0.4872614,0.13063511,0.16046569,-0.16754003,0.16991372,-0.59953576,-0.3874639,1.982151,97,Sequential RNN,MAP,t-Distribution
-0.05333374,-0.21895836,-0.50145537,-0.10371445,0.20463032,0.6176435,-0.056749046,0.6864045,-0.7921251,1.2176578,98,Sequential RNN,MAP,t-Distribution
-0.04265779,-0.27615386,-0.4867433,-0.21048905,0.07601146,-0.59330195,-0.26403835,1.4210501,-0.32032293,1.6966456,99,Sequential RNN,MAP,t-Distribution
-0.026319534,-0.23261286,-0.5500143,-0.1784708,0.09308504,-0.17808168,-0.21886986,1.2993065,-0.6599242,1.6519017,100,Sequential RNN,MAP,t-Distribution
0.115159,-0.12680109,-0.634225,0.07176845,0.1276812,-0.28769735,-0.1269844,0.4138425,-0.28108194,1.7283386,101,Sequential RNN,MAP,t-Distribution
-0.011191972,-0.16559948,-0.59306866,-0.11000657,0.39422387,0.2983886,-0.0032297976,0.35622442,-0.5051462,1.3394058,102,Sequential RNN,MAP,t-Distribution
-0.010367052,-0.30517927,-0.5830074,-0.22410776,0.13817394,0.33416545,-0.24788292,1.5379817,-0.8059664,1.1661896,103,Sequential RNN,MAP,t-Distribution
0.04602885,-0.13038203,-0.48220277,-0.082750596,0.10492553,0.107162066,-0.05377942,0.5283016,-0.70023894,1.6629357,104,Sequential RNN,MAP,t-Distribution
0.052923694,-0.23877168,-0.57185113,-0.14006245,0.15034686,0.37269711,-0.121177435,0.85820997,-0.7655515,1.4032366,105,Sequential RNN,MAP,t-Distribution
0.059255075,-0.22187452,-0.50093377,-0.078052044,0.17171337,1.0278095,-0.0479114,0.56569123,-0.9010808,0.9253833,106,Sequential RNN,MAP,t-Distribution
0.008723975,-0.20091283,-0.51413524,-0.0794671,0.21020049,0.7147933,-0.066893384,0.59894216,-0.8155191,1.1442677,107,Sequential RNN,MAP,t-Distribution
