Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Estimation_Method,Distribution,Model
97,-0.61645824,3.1763875,2.110045,1.6841305,0.78995275,5,5.0,MAP,t-Distribution,Sequential RNN
98,0.39186794,2.9164128,1.618237,1.0997249,0.961696,5,5.0,MAP,t-Distribution,Sequential RNN
99,0.8801973,2.0940187,1.0739559,0.6665264,0.75566846,5,5.0,MAP,t-Distribution,Sequential RNN
100,1.8172826,2.30991,1.3277105,0.9354043,0.72761905,5,5.0,MAP,t-Distribution,Sequential RNN
101,0.5021414,2.9507182,1.8582854,1.4219503,0.80928034,5,5.0,MAP,t-Distribution,Sequential RNN
102,-0.72189593,3.119184,1.9990109,1.5515959,0.8298306,5,5.0,MAP,t-Distribution,Sequential RNN
103,-0.71876657,2.7713861,1.6692688,1.2290655,0.81645477,5,5.0,MAP,t-Distribution,Sequential RNN
104,-0.32294762,2.3568347,1.1966393,0.73323876,0.8594793,5,5.0,MAP,t-Distribution,Sequential RNN
105,-0.6070403,2.1887708,1.1977308,0.80189353,0.73416805,5,5.0,MAP,t-Distribution,Sequential RNN
106,-0.6290933,2.6021574,1.6118131,1.2162538,0.73365265,5,5.0,MAP,t-Distribution,Sequential RNN
107,-2.176197,2.5252554,1.4698359,1.0482844,0.7818608,5,5.0,MAP,t-Distribution,Sequential RNN
108,-0.4629809,3.0220773,1.6883388,1.1556222,0.98804116,5,5.0,MAP,t-Distribution,Sequential RNN
109,-0.68644696,2.4436193,1.3264322,0.88020986,0.8276185,5,5.0,MAP,t-Distribution,Sequential RNN
110,0.48932296,3.177313,1.9802566,1.502133,0.8867863,5,5.0,MAP,t-Distribution,Sequential RNN
111,0.62694573,2.9808643,1.8670453,1.4221681,0.8251234,5,5.0,MAP,t-Distribution,Sequential RNN
112,-3.9063206,5.0461617,3.435024,2.7915099,1.19354,5,5.0,MAP,t-Distribution,Sequential RNN
113,0.5077028,3.646605,2.2814088,1.7361277,1.011345,5,5.0,MAP,t-Distribution,Sequential RNN
114,-2.6721792,3.129276,1.9551812,1.4862291,0.86977607,5,5.0,MAP,t-Distribution,Sequential RNN
115,-0.64309245,3.9912455,2.5834816,2.0211983,1.0428796,5,5.0,MAP,t-Distribution,Sequential RNN
116,0.6049148,6.025815,3.79268,2.9007304,1.654319,5,5.0,MAP,t-Distribution,Sequential RNN
117,-1.4753197,2.0173798,1.0083632,0.60534585,0.7474852,5,5.0,MAP,t-Distribution,Sequential RNN
118,1.8791656,2.4847305,1.2885374,0.81075877,0.8861466,5,5.0,MAP,t-Distribution,Sequential RNN
119,1.3146536,2.7074482,1.6111441,1.1732626,0.8121484,5,5.0,MAP,t-Distribution,Sequential RNN
120,-1.189922,3.833977,2.6065938,2.1163576,0.9092523,5,5.0,MAP,t-Distribution,Sequential RNN
121,-1.4216655,4.8399987,3.1837335,2.5221944,1.2269709,5,5.0,MAP,t-Distribution,Sequential RNN
122,-1.5853432,5.4021254,3.6744294,2.98436,1.2798872,5,5.0,MAP,t-Distribution,Sequential RNN
123,-3.626737,4.2820306,2.6047826,1.9348629,1.2425148,5,5.0,MAP,t-Distribution,Sequential RNN
124,-5.5638676,3.844076,2.369393,1.780381,1.0924536,5,5.0,MAP,t-Distribution,Sequential RNN
125,-9.130404,5.3851247,3.6105182,2.901712,1.3146386,5,5.0,MAP,t-Distribution,Sequential RNN
126,-3.2604034,1.7750465,0.74634725,0.3354683,0.76206625,5,5.0,MAP,t-Distribution,Sequential RNN
127,-0.21912201,3.9251587,2.8175316,2.3751278,0.8205364,5,5.0,MAP,t-Distribution,Sequential RNN
128,-1.7035054,2.7575366,1.5839282,1.1151702,0.86941576,5,5.0,MAP,t-Distribution,Sequential RNN
129,2.453215,5.0833616,3.6410651,3.0649889,1.0684613,5,5.0,MAP,t-Distribution,Sequential RNN
130,-3.572835,2.572842,1.5038677,1.0769024,0.7919021,5,5.0,MAP,t-Distribution,Sequential RNN
131,1.3769639,2.6213202,1.2868378,0.75382423,0.98859215,5,5.0,MAP,t-Distribution,Sequential RNN
132,1.8077369,4.1603293,2.976703,2.5039437,0.87683725,5,5.0,MAP,t-Distribution,Sequential RNN
133,7.4571705,1.6817317,0.54361165,0.08902832,0.84312576,5,5.0,MAP,t-Distribution,Sequential RNN
134,-0.27085972,2.5500965,1.3424202,0.8600549,0.89465356,5,5.0,MAP,t-Distribution,Sequential RNN
