Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Estimation_Method,Distribution,Model
45,1.3465048,-2.6673374,-1.5701915,-1.1319739,0.8127719,10,5.0,MAP,t-Distribution,Sequential RNN
46,0.12099851,-2.6809072,-1.7160933,-1.3307312,0.7147396,10,5.0,MAP,t-Distribution,Sequential RNN
47,0.8242848,-2.2056353,-1.2764254,-0.90528405,0.688364,10,5.0,MAP,t-Distribution,Sequential RNN
48,-0.09921575,-2.719529,-1.5650954,-1.1039962,0.855211,10,5.0,MAP,t-Distribution,Sequential RNN
49,0.5306871,-2.9922578,-1.7291857,-1.2246944,0.9356911,10,5.0,MAP,t-Distribution,Sequential RNN
50,0.40606564,-2.8707037,-1.637383,-1.1447749,0.91365105,10,5.0,MAP,t-Distribution,Sequential RNN
51,0.82419866,-2.4551094,-1.4705791,-1.077342,0.72934556,10,5.0,MAP,t-Distribution,Sequential RNN
52,-0.08377951,-2.9391909,-1.8493199,-1.4140081,0.8073825,10,5.0,MAP,t-Distribution,Sequential RNN
53,0.4549464,-2.5331385,-1.5078135,-1.0982822,0.7595666,10,5.0,MAP,t-Distribution,Sequential RNN
54,-0.954606,-2.2532885,-1.3165922,-0.9424608,0.69390994,10,5.0,MAP,t-Distribution,Sequential RNN
55,1.0952674,-3.1277103,-1.7863563,-1.2505981,0.9936826,10,5.0,MAP,t-Distribution,Sequential RNN
56,-0.18450038,-3.422597,-2.0264618,-1.4688233,1.0342647,10,5.0,MAP,t-Distribution,Sequential RNN
57,0.40899435,-3.911464,-2.376275,-1.7630962,1.1372765,10,5.0,MAP,t-Distribution,Sequential RNN
58,0.5932634,-3.1759067,-1.8963319,-1.3852494,0.94791615,10,5.0,MAP,t-Distribution,Sequential RNN
59,-0.23082069,-2.0893352,-1.1622818,-0.7920018,0.6867665,10,5.0,MAP,t-Distribution,Sequential RNN
60,-0.46318555,-2.753061,-1.6846033,-1.2578441,0.79151964,10,5.0,MAP,t-Distribution,Sequential RNN
61,0.19540457,-2.5047348,-1.4304972,-1.0014294,0.7958013,10,5.0,MAP,t-Distribution,Sequential RNN
62,0.004924114,-2.6853528,-1.6190283,-1.1931213,0.78993917,10,5.0,MAP,t-Distribution,Sequential RNN
63,0.12555045,-2.258468,-1.339496,-0.9724439,0.68077964,10,5.0,MAP,t-Distribution,Sequential RNN
64,0.3320007,-3.2720912,-2.0354278,-1.5414846,0.91612726,10,5.0,MAP,t-Distribution,Sequential RNN
65,0.7093229,-2.6106925,-1.5316151,-1.1006144,0.7993867,10,5.0,MAP,t-Distribution,Sequential RNN
66,1.068482,-2.8782,-1.7429105,-1.2894577,0.841029,10,5.0,MAP,t-Distribution,Sequential RNN
67,0.3510207,-2.7172,-1.5967146,-1.1491748,0.830062,10,5.0,MAP,t-Distribution,Sequential RNN
68,-0.29874867,-2.73463,-1.6054473,-1.1544335,0.8365051,10,5.0,MAP,t-Distribution,Sequential RNN
69,0.4537511,-2.6305876,-1.5897342,-1.1740007,0.7710701,10,5.0,MAP,t-Distribution,Sequential RNN
70,0.28556627,-2.753599,-1.7146535,-1.299682,0.7696568,10,5.0,MAP,t-Distribution,Sequential RNN
71,-0.10954852,-2.9462576,-1.7868571,-1.323774,0.85889053,10,5.0,MAP,t-Distribution,Sequential RNN
72,-0.71231616,-2.2675242,-1.3154875,-0.9352288,0.7052742,10,5.0,MAP,t-Distribution,Sequential RNN
