Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Asset_16_Weight,Asset_17_Weight,Asset_18_Weight,Asset_19_Weight,Asset_20_Weight,Asset_21_Weight,Asset_22_Weight,Asset_23_Weight,Asset_24_Weight,Asset_25_Weight,Asset_26_Weight,Asset_27_Weight,Asset_28_Weight,Asset_29_Weight,Day,Model,Estimation_Method,Distribution
-0.31710076,-0.07195471,-1.839737,-0.34956473,-0.49408767,0.4721453,-0.12857175,0.96359754,1.1148837,0.80867237,-0.1955427,-0.48318356,2.8441567,0.41276747,-0.16059665,-0.31913963,-0.7090138,-0.35454342,-0.09925655,-1.0619094,0.30034453,0.6321603,0.47950926,0.044042595,-0.5437344,-0.12401512,-0.30828246,0.2744352,0.21351945,141,Sequential LSTM,MAP,t-Distribution
-0.2702245,-0.05831652,-1.2989595,-0.26377618,-0.22867598,-0.3812613,-0.08770769,0.74207467,0.55551267,0.6015086,-0.006901103,0.1838072,1.7528208,1.2888582,-0.2887106,-0.48164493,-0.32606673,0.23857732,-0.37440786,-0.8550834,0.6475547,0.3106669,-0.25256002,0.13495953,-0.13830863,-0.94537854,0.18185417,0.25188214,0.36790645,142,Sequential LSTM,MAP,t-Distribution
-0.30769664,0.05430196,-1.7897267,-0.22348101,-0.477393,-0.025691768,0.0058715753,0.24012186,1.0028797,0.3346589,-0.52498126,0.3908561,3.0425081,1.923703,-0.2684613,-0.36913118,-0.07273647,-1.1759613,-0.5079882,-0.5226639,1.0167539,-0.13785246,-0.36878043,0.49619535,0.15127547,-0.43851566,-0.08256463,0.2654817,-0.63098174,143,Sequential LSTM,MAP,t-Distribution
-0.17062673,-0.032423913,-0.86904275,-0.18487307,-0.2593229,0.1339465,-0.017352147,0.3969965,1.8775771,-0.6204659,-0.611718,0.54046434,1.600951,2.7174456,-0.8075009,-0.39977354,-0.2862797,-0.08336915,-0.7820872,0.48175144,0.8213043,-0.504316,-0.6391647,0.38658515,0.021115106,-1.5502768,-0.107789226,0.1337166,-0.18547098,144,Sequential LSTM,MAP,t-Distribution
-0.1787218,-0.05267638,-1.3930157,-0.13213071,-0.3531262,-0.38413593,-0.044460475,0.3881018,0.84442866,0.8483973,-0.39648262,-0.1966865,2.1820045,1.7076095,-0.25559124,-0.29099932,0.2514804,-0.64608204,-0.3100005,-0.8683431,0.7080695,-0.23080206,0.10347397,0.36888725,0.24304654,-0.84920144,0.21084666,0.17091006,-0.4448,145,Sequential LSTM,MAP,t-Distribution
-0.34389958,0.053707354,-2.3438125,-0.04664698,-0.88046366,-0.091213524,0.047312897,-0.36180755,1.1174049,0.076863095,-0.5057643,0.22914429,4.4588404,0.9115505,-0.22079375,-0.11959333,0.87890446,-1.4219618,-0.16035745,-0.0038806382,0.6398616,0.043576654,-0.09844925,0.5910276,0.31890383,-0.9768587,0.158776,0.29757318,-1.2479439,146,Sequential LSTM,MAP,t-Distribution
-0.34770057,-0.053356618,-2.32686,-0.10376285,-0.7174781,0.5732462,0.024679698,-0.08679604,0.2079954,2.04946,1.2789183,0.19324215,2.8075955,0.12256468,0.09128396,-0.16056198,0.84314364,-2.4250054,0.2656757,-1.2806424,0.8940732,0.29072842,0.21041638,-0.10911615,0.30771703,0.17454332,-0.01191398,0.27179137,-1.9838806,147,Sequential LSTM,MAP,t-Distribution
-0.47968364,-0.007607927,-3.4089396,-0.07784416,-1.0556221,0.41714558,-0.0119575085,-0.026991857,-0.038380466,1.6813568,0.5578292,0.42947486,4.9662504,0.022292484,-0.056201294,-0.041992076,1.0876789,-3.6088376,0.10631701,-0.40399545,0.20340937,0.49808058,-0.021584488,0.45912448,1.0908823,0.43320227,0.18061054,0.33698213,-2.2309988,148,Sequential LSTM,MAP,t-Distribution
-0.445069,-0.046369728,-2.9527884,-0.03229397,-0.8702132,0.24511369,-0.019423964,0.01034252,-0.13750297,2.6605875,1.281869,0.5126598,3.4807346,0.6573746,-0.37730458,-0.07037207,1.7545516,-3.3747418,0.112265356,-1.1047113,0.34565637,0.35507467,-0.07632418,0.101561986,0.7534866,-0.13450554,0.17893879,0.42294562,-2.231542,149,Sequential LSTM,MAP,t-Distribution
-0.31904653,-0.07264181,-2.04476,-0.112668686,-0.42697856,1.1377945,0.013355422,0.23635289,-0.15630226,2.3092687,1.1975113,0.7536897,2.1068816,0.8438704,-0.74466634,-0.07057354,1.260429,-0.653557,0.06777279,-1.6169027,0.34012055,-0.33639884,-0.66034603,-0.4128849,0.38691568,-0.7784845,-0.3513344,0.19741568,-1.0938323,150,Sequential LSTM,MAP,t-Distribution
-0.464339,-0.013070284,-2.9425373,-0.03923398,-0.68862605,0.30960143,0.055363998,0.014677894,-1.063431,1.6366068,0.49963078,0.26806855,4.344153,0.32105395,-0.24909042,0.044883657,0.81133914,-0.59042186,0.097033,-1.2711155,0.22688575,-0.23659848,-0.25937927,-0.099430054,0.35347506,0.4190873,-0.095529765,0.02999242,-0.4190495,151,Sequential LSTM,MAP,t-Distribution
-0.421394,-0.029880982,-2.4692292,-0.09693857,-0.78447706,0.19062975,0.018820269,0.13110852,-0.89797205,2.0082476,0.28159788,0.5627254,3.8263683,0.5031239,-0.17562637,0.016576279,0.4666354,-1.059242,0.03190873,-1.2390358,0.4377578,0.02053185,-0.37431997,0.19192885,0.54759276,1.0626756,-0.034327287,0.0066661853,-1.7224517,152,Sequential LSTM,MAP,t-Distribution
-0.25441515,-0.23284118,-1.9223546,-0.11990692,-0.2902684,-0.3846433,-0.08822911,0.6112675,-0.63894415,3.7513273,1.0917085,0.9135285,1.4204769,0.794319,-0.10087649,-0.15503559,-0.17459366,-0.20861459,-0.13121092,-2.911352,0.882064,0.101786785,-0.7038078,-0.14478202,0.4006015,0.81920207,-0.022483114,0.046346396,-1.3482699,153,Sequential LSTM,MAP,t-Distribution
-0.32932666,-0.08846549,-2.0636013,-0.058665656,-0.5235651,-0.10846064,-0.009255829,0.15785645,-0.40172717,2.5040462,0.3046425,0.5784611,2.813681,0.41522747,0.099534236,-0.02606089,0.08008997,-0.4265757,-0.06364692,-1.8719311,0.6727764,0.041019253,-0.4825014,0.08445544,0.4288651,0.44540402,-0.05707648,-0.025946122,-1.0892528,154,Sequential LSTM,MAP,t-Distribution
-0.39155942,0.033686478,-2.0296412,0.024127169,-0.65328574,-0.25772864,0.05642464,-0.12401279,-0.3699858,2.06786,-0.08665789,0.13915984,3.3607275,0.82737476,-0.05861995,0.011789835,0.27374232,0.19878627,-0.101542234,-1.7525629,0.72919226,-0.11643774,-0.16126907,0.16443993,0.27366027,0.019660633,-0.054037806,-0.035308372,-0.9879823,155,Sequential LSTM,MAP,t-Distribution
-0.3413915,-0.06247949,-1.7807277,-0.021478824,-0.48475885,-0.40430734,-0.004166624,0.19683994,0.025677485,1.8780495,-0.3396176,-0.033378914,2.841451,0.7616076,-0.22175576,-0.010045045,0.5740101,0.14251675,-0.14216991,-1.7895597,0.8395663,-0.26627246,0.010682426,0.24923432,0.3290161,-0.6740626,0.055574164,0.07189835,-0.39995146,156,Sequential LSTM,MAP,t-Distribution
-0.30126303,-0.074179746,-1.8425686,-0.036498703,-0.55892783,-0.5333831,-0.011708598,0.14759932,0.7619491,1.5199758,-0.36307395,-0.066462375,2.9113812,1.0521518,-0.41253844,0.03849687,0.796248,-0.57903606,-0.12373863,-1.0788022,0.8396718,-0.2852869,0.072686896,0.4557531,0.35392004,-1.1273241,0.17337875,0.2469598,-0.9753802,157,Sequential LSTM,MAP,t-Distribution
-0.29687715,-0.02865486,-1.7299976,-0.008744844,-0.39814916,-0.2692634,0.07334987,-0.066865966,0.5068931,0.9989316,-0.30394927,-0.892339,2.650189,1.7197038,-0.88417476,0.0049614045,0.73337114,1.242404,-0.113783084,-1.5439692,0.9690283,-0.6111043,0.74148166,0.022111455,-0.21411183,-1.406579,-0.1960342,0.37911135,-0.07693914,158,Sequential LSTM,MAP,t-Distribution
-0.3096756,-0.029545898,-2.0535095,-0.036066238,-0.6203511,-0.10511036,0.0004215882,0.04012874,0.50227773,0.8933187,-0.29655373,-0.81087613,3.4996047,0.6708113,-0.3569673,0.034470193,0.43231285,0.43247643,-0.019444462,-1.011708,0.5397377,-0.22046155,0.71038616,0.07441565,-0.06978148,-0.80587214,-0.1512357,0.26768863,-0.20089135,159,Sequential LSTM,MAP,t-Distribution
-0.38862866,0.008044663,-2.3187108,-0.028174853,-0.9181579,-0.33750963,0.056717828,-0.3365045,1.2662605,0.097986564,-0.9781768,-0.2952988,4.798915,1.1162428,-0.55435425,0.08772708,0.3491412,0.11146544,-0.038224407,-0.16496103,0.64046234,-0.1333809,0.34753427,0.6211372,0.037196282,-0.9491211,-0.089522004,0.4396282,-1.4477338,160,Sequential LSTM,MAP,t-Distribution
-0.35259435,0.016131384,-1.7136586,-0.02673812,-0.7330451,-0.14910576,0.03380585,-0.27820778,1.856108,0.7335297,-0.5029249,-0.29732493,3.2450364,1.7383134,-1.2802879,0.08233516,-0.085024975,0.7179544,-0.15112296,-0.8991303,0.75738704,-0.2132652,0.2141096,0.14080018,-0.013483338,-1.6263365,-0.34037685,0.48564634,-0.3585299,161,Sequential LSTM,MAP,t-Distribution
-0.30672228,-0.00010898632,-1.63069,0.007893359,-0.43307847,-0.030626513,0.0056639942,-0.13955164,0.94496256,0.967811,-0.32363912,-0.22331917,2.7699428,1.6355772,-1.2546059,0.0679238,-0.15856951,0.4178519,-0.14204443,-1.1513817,0.8690654,-0.2124728,0.12736502,0.024036525,-0.1044597,-0.8721609,-0.45859262,0.4056045,0.19832566,162,Sequential LSTM,MAP,t-Distribution
