Asset_1_Weight,Asset_2_Weight,Day,Model,Estimation_Method,Distribution
1.028752,-0.028751971,182,Sequential LSTM,MAP,t-Distribution
1.1604831,-0.16048309,183,Sequential LSTM,MAP,t-Distribution
1.0873554,-0.087355375,184,Sequential LSTM,MAP,t-Distribution
1.0841069,-0.08410691,185,Sequential LSTM,MAP,t-Distribution
1.1509875,-0.15098748,186,Sequential LSTM,MAP,t-Distribution
1.1482126,-0.14821252,187,Sequential LSTM,MAP,t-Distribution
1.0899,-0.08989997,188,Sequential LSTM,MAP,t-Distribution
1.0323147,-0.032314632,189,Sequential LSTM,MAP,t-Distribution
1.1266501,-0.12665012,190,Sequential LSTM,MAP,t-Distribution
1.1075593,-0.10755927,191,Sequential LSTM,MAP,t-Distribution
1.1471453,-0.14714524,192,Sequential LSTM,MAP,t-Distribution
1.1690422,-0.16904221,193,Sequential LSTM,MAP,t-Distribution
1.1735718,-0.17357185,194,Sequential LSTM,MAP,t-Distribution
1.1555536,-0.15555356,195,Sequential LSTM,MAP,t-Distribution
1.1322507,-0.1322507,196,Sequential LSTM,MAP,t-Distribution
1.1231467,-0.12314671,197,Sequential LSTM,MAP,t-Distribution
1.1585308,-0.15853089,198,Sequential LSTM,MAP,t-Distribution
1.127684,-0.12768398,199,Sequential LSTM,MAP,t-Distribution
1.1045264,-0.104526445,200,Sequential LSTM,MAP,t-Distribution
1.1462218,-0.14622173,201,Sequential LSTM,MAP,t-Distribution
1.06766,-0.06765999,202,Sequential LSTM,MAP,t-Distribution
1.1625434,-0.16254336,203,Sequential LSTM,MAP,t-Distribution
1.0789869,-0.07898687,204,Sequential LSTM,MAP,t-Distribution
1.1652158,-0.16521585,205,Sequential LSTM,MAP,t-Distribution
1.1457056,-0.14570554,206,Sequential LSTM,MAP,t-Distribution
1.1671095,-0.16710955,207,Sequential LSTM,MAP,t-Distribution
1.1730646,-0.17306465,208,Sequential LSTM,MAP,t-Distribution
1.1523243,-0.15232435,209,Sequential LSTM,MAP,t-Distribution
1.172175,-0.17217508,210,Sequential LSTM,MAP,t-Distribution
1.0680447,-0.06804465,211,Sequential LSTM,MAP,t-Distribution
1.1588513,-0.15885127,212,Sequential LSTM,MAP,t-Distribution
1.1159474,-0.115947336,213,Sequential LSTM,MAP,t-Distribution
1.1525279,-0.15252791,214,Sequential LSTM,MAP,t-Distribution
1.0854323,-0.08543224,215,Sequential LSTM,MAP,t-Distribution
1.1044484,-0.10444846,216,Sequential LSTM,MAP,t-Distribution
1.1326516,-0.13265151,217,Sequential LSTM,MAP,t-Distribution
1.1698738,-0.16987388,218,Sequential LSTM,MAP,t-Distribution
1.0914763,-0.09147634,219,Sequential LSTM,MAP,t-Distribution
1.174252,-0.17425197,220,Sequential LSTM,MAP,t-Distribution
1.1350337,-0.13503367,221,Sequential LSTM,MAP,t-Distribution
1.1681882,-0.16818815,222,Sequential LSTM,MAP,t-Distribution
1.1490254,-0.14902546,223,Sequential LSTM,MAP,t-Distribution
1.1374447,-0.1374447,224,Sequential LSTM,MAP,t-Distribution
1.1429048,-0.14290477,225,Sequential LSTM,MAP,t-Distribution
1.1134033,-0.11340328,226,Sequential LSTM,MAP,t-Distribution
1.1707783,-0.17077826,227,Sequential LSTM,MAP,t-Distribution
1.1321347,-0.13213462,228,Sequential LSTM,MAP,t-Distribution
1.146646,-0.146646,229,Sequential LSTM,MAP,t-Distribution
1.1590432,-0.15904324,230,Sequential LSTM,MAP,t-Distribution
1.1689955,-0.16899553,231,Sequential LSTM,MAP,t-Distribution
1.1702635,-0.17026356,232,Sequential LSTM,MAP,t-Distribution
1.1701316,-0.1701316,233,Sequential LSTM,MAP,t-Distribution
1.1323365,-0.13233648,234,Sequential LSTM,MAP,t-Distribution
1.1238496,-0.12384961,235,Sequential LSTM,MAP,t-Distribution
1.1527002,-0.15270016,236,Sequential LSTM,MAP,t-Distribution
1.1556375,-0.15563755,237,Sequential LSTM,MAP,t-Distribution
1.1668997,-0.16689967,238,Sequential LSTM,MAP,t-Distribution
1.164226,-0.16422603,239,Sequential LSTM,MAP,t-Distribution
1.1716089,-0.1716089,240,Sequential LSTM,MAP,t-Distribution
1.174648,-0.17464799,241,Sequential LSTM,MAP,t-Distribution
1.1724628,-0.17246284,242,Sequential LSTM,MAP,t-Distribution
1.0590329,-0.059032917,243,Sequential LSTM,MAP,t-Distribution
1.1310391,-0.13103919,244,Sequential LSTM,MAP,t-Distribution
1.0142787,-0.01427866,245,Sequential LSTM,MAP,t-Distribution
1.1673992,-0.16739911,246,Sequential LSTM,MAP,t-Distribution
1.1725372,-0.17253716,247,Sequential LSTM,MAP,t-Distribution
1.1475549,-0.14755486,248,Sequential LSTM,MAP,t-Distribution
1.1364555,-0.1364555,249,Sequential LSTM,MAP,t-Distribution
