Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Estimation_Method,Distribution,Model
121,-3.7779436,4.483635,3.1198695,2.5751598,1.0102851,29,5.0,MAP,t-Distribution,Sequential LSTM
122,1.1308419,4.821774,3.574717,3.0766225,0.92382693,29,5.0,MAP,t-Distribution,Sequential LSTM
123,-5.1286407,1.779471,0.81542945,0.4303758,0.7141675,29,5.0,MAP,t-Distribution,Sequential LSTM
124,-2.6528485,3.9207394,2.6712315,2.172158,0.92564267,29,5.0,MAP,t-Distribution,Sequential LSTM
125,-2.555141,6.0066304,4.8368907,4.369678,0.86654985,29,5.0,MAP,t-Distribution,Sequential LSTM
126,0.8591785,1.8932507,1.1383193,0.8367875,0.55925757,29,5.0,MAP,t-Distribution,Sequential LSTM
127,-2.0359251,5.340858,4.1868863,3.7259715,0.85486877,29,5.0,MAP,t-Distribution,Sequential LSTM
128,1.199029,1.30666,0.83603644,0.6480618,0.34864062,29,5.0,MAP,t-Distribution,Sequential LSTM
129,0.5559724,2.345721,1.5430472,1.2224464,0.59462535,29,5.0,MAP,t-Distribution,Sequential LSTM
130,-4.420492,2.7333207,1.7547532,1.3638978,0.7249284,29,5.0,MAP,t-Distribution,Sequential LSTM
131,-5.6383166,3.0549119,2.2237382,1.8917542,0.6157381,29,5.0,MAP,t-Distribution,Sequential LSTM
132,5.090018,3.2970238,2.2799726,1.8737459,0.75343734,29,5.0,MAP,t-Distribution,Sequential LSTM
133,-2.3595958,0.9479468,0.38947433,0.16641149,0.4137196,29,5.0,MAP,t-Distribution,Sequential LSTM
134,2.9262378,1.7288686,1.0626388,0.7965359,0.49354684,29,5.0,MAP,t-Distribution,Sequential LSTM
135,4.7110105,1.1127375,0.5319372,0.2999562,0.43026024,29,5.0,MAP,t-Distribution,Sequential LSTM
136,2.0841894,2.284997,1.540277,1.242824,0.5516927,29,5.0,MAP,t-Distribution,Sequential LSTM
137,3.2237215,1.6603296,0.92634416,0.6331786,0.5437406,29,5.0,MAP,t-Distribution,Sequential LSTM
138,1.6185293,2.7514951,1.6899353,1.2659312,0.7864097,29,5.0,MAP,t-Distribution,Sequential LSTM
139,2.30292,4.2146087,2.457823,1.7561346,1.3014369,29,5.0,MAP,t-Distribution,Sequential LSTM
140,3.4228315,1.9101086,1.1164494,0.7994491,0.5879473,29,5.0,MAP,t-Distribution,Sequential LSTM
141,1.8522116,2.66967,1.6754761,1.2783791,0.7365046,29,5.0,MAP,t-Distribution,Sequential LSTM
142,1.4717445,1.1455288,0.55619526,0.320806,0.43658164,29,5.0,MAP,t-Distribution,Sequential LSTM
143,-0.6361278,2.738506,1.6814276,1.2592134,0.7830898,29,5.0,MAP,t-Distribution,Sequential LSTM
144,0.78476214,2.094153,1.1814879,0.816955,0.67610747,29,5.0,MAP,t-Distribution,Sequential LSTM
145,-2.8146572,2.059948,1.2367038,0.9078868,0.60986406,29,5.0,MAP,t-Distribution,Sequential LSTM
146,2.4612324,3.189559,2.0829074,1.6408932,0.8198137,29,5.0,MAP,t-Distribution,Sequential LSTM
147,-2.3186328,2.007904,1.0894691,0.72263145,0.6803819,29,5.0,MAP,t-Distribution,Sequential LSTM
148,-0.50829005,4.057188,2.5492218,1.946916,1.11711,29,5.0,MAP,t-Distribution,Sequential LSTM
149,3.0946753,3.115167,1.7918121,1.263243,0.9803488,29,5.0,MAP,t-Distribution,Sequential LSTM
150,0.19964696,2.385521,1.2851429,0.8456343,0.8151663,29,5.0,MAP,t-Distribution,Sequential LSTM
151,-0.30719197,2.8214765,1.7118804,1.2686901,0.821995,29,5.0,MAP,t-Distribution,Sequential LSTM
152,0.351022,3.1924896,2.0480583,1.5909538,0.84780145,29,5.0,MAP,t-Distribution,Sequential LSTM
153,0.6254932,2.286645,1.130079,0.668128,0.85679066,29,5.0,MAP,t-Distribution,Sequential LSTM
154,1.4436018,2.5506945,1.5531542,1.1547207,0.73898345,29,5.0,MAP,t-Distribution,Sequential LSTM
