Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Estimation_Method,Distribution,Model
56,0.017927397,-4.434016,-2.6481247,-1.934811,1.3229986,29,5.0,MAP,t-Distribution,Sequential LSTM
57,0.2563947,-4.246831,-2.5655203,-1.893978,1.2455244,29,5.0,MAP,t-Distribution,Sequential LSTM
58,0.57666355,-4.576618,-2.9473655,-2.296616,1.2069596,29,5.0,MAP,t-Distribution,Sequential LSTM
59,0.34959412,-4.139377,-2.5420847,-1.9041004,1.1832834,29,5.0,MAP,t-Distribution,Sequential LSTM
60,0.48282683,-4.3115845,-2.7399478,-2.112211,1.1642774,29,5.0,MAP,t-Distribution,Sequential LSTM
61,-0.4170278,-3.7330742,-2.2544923,-1.663923,1.0953419,29,5.0,MAP,t-Distribution,Sequential LSTM
62,0.12110313,-3.8274732,-2.3415542,-1.7480543,1.1007773,29,5.0,MAP,t-Distribution,Sequential LSTM
63,-0.50538737,-3.9606106,-2.4707835,-1.8757228,1.1036724,29,5.0,MAP,t-Distribution,Sequential LSTM
64,2.0462413,-3.8157828,-2.3659897,-1.7869191,1.0740149,29,5.0,MAP,t-Distribution,Sequential LSTM
65,0.61354035,-3.670999,-2.2860703,-1.7329077,1.0259632,29,5.0,MAP,t-Distribution,Sequential LSTM
66,0.47187382,-4.065947,-2.5820098,-1.9893014,1.0993092,29,5.0,MAP,t-Distribution,Sequential LSTM
67,-0.68256223,-3.7698934,-2.2820714,-1.6878114,1.1021872,29,5.0,MAP,t-Distribution,Sequential LSTM
68,0.8516779,-4.752779,-2.904896,-2.1668217,1.3689225,29,5.0,MAP,t-Distribution,Sequential LSTM
69,0.54822874,-4.1612153,-2.5806394,-1.9493322,1.1708995,29,5.0,MAP,t-Distribution,Sequential LSTM
70,-0.42154747,-3.8600214,-2.3996892,-1.8164091,1.0818224,29,5.0,MAP,t-Distribution,Sequential LSTM
71,0.297314,-4.3114595,-2.6789153,-2.0268507,1.2093983,29,5.0,MAP,t-Distribution,Sequential LSTM
72,0.17692383,-4.0029345,-2.4465876,-1.8249578,1.1529505,29,5.0,MAP,t-Distribution,Sequential LSTM
73,0.6139321,-4.2973843,-2.6985526,-2.0599537,1.1844236,29,5.0,MAP,t-Distribution,Sequential LSTM
74,-0.17477737,-3.845144,-2.373963,-1.7863501,1.0898591,29,5.0,MAP,t-Distribution,Sequential LSTM
75,0.108620316,-3.8553383,-2.3106904,-1.6937333,1.144284,29,5.0,MAP,t-Distribution,Sequential LSTM
76,-0.69309485,-3.7563758,-2.274501,-1.6826165,1.0977812,29,5.0,MAP,t-Distribution,Sequential LSTM
77,0.49437648,-4.358517,-2.8206077,-2.206342,1.139292,29,5.0,MAP,t-Distribution,Sequential LSTM
78,-0.61141634,-3.6809323,-2.1413214,-1.526376,1.1405526,29,5.0,MAP,t-Distribution,Sequential LSTM
79,-0.03911018,-4.1564546,-2.6068215,-1.9878734,1.1479769,29,5.0,MAP,t-Distribution,Sequential LSTM
80,-0.44843853,-3.9116578,-2.3544989,-1.7325445,1.1535523,29,5.0,MAP,t-Distribution,Sequential LSTM
81,0.57533985,-3.7532985,-2.3444157,-1.7816855,1.0437083,29,5.0,MAP,t-Distribution,Sequential LSTM
82,0.013831263,-3.654544,-2.249359,-1.6881053,1.0409693,29,5.0,MAP,t-Distribution,Sequential LSTM
83,0.47820386,-3.79073,-2.2923343,-1.693851,1.1100202,29,5.0,MAP,t-Distribution,Sequential LSTM
84,0.8392164,-3.7335973,-2.2757337,-1.6934398,1.0799936,29,5.0,MAP,t-Distribution,Sequential LSTM
85,0.6556909,-3.9157362,-2.398166,-1.792024,1.1242248,29,5.0,MAP,t-Distribution,Sequential LSTM
86,0.38669154,-3.676324,-2.2328422,-1.6562924,1.0693394,29,5.0,MAP,t-Distribution,Sequential LSTM
87,0.5785938,-4.2330694,-2.7094967,-2.1009574,1.1286713,29,5.0,MAP,t-Distribution,Sequential LSTM
88,0.07521199,-3.9485967,-2.460167,-1.8656642,1.1026374,29,5.0,MAP,t-Distribution,Sequential LSTM
89,0.53154606,-3.7288532,-2.2774763,-1.6977733,1.0751882,29,5.0,MAP,t-Distribution,Sequential LSTM
90,-0.28548846,-3.968856,-2.511953,-1.9300426,1.0792822,29,5.0,MAP,t-Distribution,Sequential LSTM
91,-0.08668862,-3.779509,-2.2705665,-1.6678708,1.1178331,29,5.0,MAP,t-Distribution,Sequential LSTM
92,-0.6743299,-3.6201744,-2.114715,-1.5134106,1.1152527,29,5.0,MAP,t-Distribution,Sequential LSTM
93,-0.5868586,-4.443208,-2.7086325,-2.0158153,1.2849835,29,5.0,MAP,t-Distribution,Sequential LSTM
94,-0.08610804,-4.300616,-2.7291605,-2.1014962,1.164143,29,5.0,MAP,t-Distribution,Sequential LSTM
95,0.43972266,-3.648938,-2.2075613,-1.6318525,1.0677799,29,5.0,MAP,t-Distribution,Sequential LSTM
96,-0.4120352,-3.445024,-2.0850954,-1.541918,1.007443,29,5.0,MAP,t-Distribution,Sequential LSTM
97,-0.69223255,-3.7001696,-2.109585,-1.4742801,1.1783141,29,5.0,MAP,t-Distribution,Sequential LSTM
98,0.45203823,-3.8959541,-2.4312713,-1.8462535,1.0850455,29,5.0,MAP,t-Distribution,Sequential LSTM
99,-0.174308,-3.8595154,-2.487165,-1.9390264,1.016645,29,5.0,MAP,t-Distribution,Sequential LSTM
100,0.051956944,-4.189557,-2.649239,-2.0340114,1.1410763,29,5.0,MAP,t-Distribution,Sequential LSTM
101,0.1204911,-3.3729322,-2.0651374,-1.5427834,0.96882176,29,5.0,MAP,t-Distribution,Sequential LSTM
102,0.23651119,-3.7107124,-2.2290413,-1.6372383,1.0976304,29,5.0,MAP,t-Distribution,Sequential LSTM
103,0.10483564,-4.170775,-2.611851,-1.9891919,1.1548598,29,5.0,MAP,t-Distribution,Sequential LSTM
104,0.014147465,-4.3437753,-2.7180393,-2.0686944,1.2043545,29,5.0,MAP,t-Distribution,Sequential LSTM
105,1.0633823,-4.4393034,-2.8085332,-2.1571774,1.208084,29,5.0,MAP,t-Distribution,Sequential LSTM
106,-0.42089987,-3.838074,-2.3271587,-1.7236749,1.1192946,29,5.0,MAP,t-Distribution,Sequential LSTM
107,-1.0981476,-4.005043,-2.4896517,-1.8843803,1.1226103,29,5.0,MAP,t-Distribution,Sequential LSTM
108,-0.03447435,-4.2972846,-2.598681,-1.9202315,1.2583354,29,5.0,MAP,t-Distribution,Sequential LSTM
109,0.1466205,-4.397514,-2.7959197,-2.1562176,1.1864699,29,5.0,MAP,t-Distribution,Sequential LSTM
110,0.13940191,-4.0927043,-2.402504,-1.7274109,1.25211,29,5.0,MAP,t-Distribution,Sequential LSTM
111,-1.7296014,-3.3242314,-1.9021244,-1.334112,1.0535051,29,5.0,MAP,t-Distribution,Sequential LSTM
112,-1.3552865,-3.4702194,-1.8766279,-1.240122,1.1805416,29,5.0,MAP,t-Distribution,Sequential LSTM
113,-1.138303,-4.8796787,-2.8579843,-2.050487,1.4976827,29,5.0,MAP,t-Distribution,Sequential LSTM
114,-1.6949555,-4.203404,-2.5374897,-1.8720968,1.2341188,29,5.0,MAP,t-Distribution,Sequential LSTM
115,-5.2113485,-4.107201,-2.2065816,-1.4474438,1.4079896,29,5.0,MAP,t-Distribution,Sequential LSTM
116,-0.47290444,-7.725169,-4.8145537,-3.6520078,2.1562002,29,5.0,MAP,t-Distribution,Sequential LSTM
117,-0.5660685,-3.3956,-2.140022,-1.638524,0.93013936,29,5.0,MAP,t-Distribution,Sequential LSTM
118,1.4485621,-3.76114,-2.109155,-1.4493254,1.2238001,29,5.0,MAP,t-Distribution,Sequential LSTM
119,1.4696561,-3.612247,-2.284841,-1.7546537,0.98335,29,5.0,MAP,t-Distribution,Sequential LSTM
120,-3.0000036,-3.6077805,-1.9233133,-1.25051,1.2478629,29,5.0,MAP,t-Distribution,Sequential LSTM
121,-3.7779436,-4.5818024,-2.3088598,-1.4010103,1.6838086,29,5.0,MAP,t-Distribution,Sequential LSTM
122,1.1308419,-3.4678607,-1.3894323,-0.55927473,1.5397116,29,5.0,MAP,t-Distribution,Sequential LSTM
123,-5.1286407,-4.6288586,-3.0221226,-2.3803666,1.1902791,29,5.0,MAP,t-Distribution,Sequential LSTM
124,-2.6528485,-4.385188,-2.3026748,-1.4708855,1.5427378,29,5.0,MAP,t-Distribution,Sequential LSTM
125,-2.555141,-1.7690485,0.18051776,0.9592057,1.4442497,29,5.0,MAP,t-Distribution,Sequential LSTM
126,0.8591785,-3.1250494,-1.8668301,-1.3642772,0.93209594,29,5.0,MAP,t-Distribution,Sequential LSTM
127,-2.0359251,-2.3300052,-0.40671903,0.36147222,1.4247813,29,5.0,MAP,t-Distribution,Sequential LSTM
128,1.199029,-1.8217435,-1.0373709,-0.7240799,0.58106774,29,5.0,MAP,t-Distribution,Sequential LSTM
129,0.5559724,-2.9899395,-1.6521497,-1.117815,0.99104226,29,5.0,MAP,t-Distribution,Sequential LSTM
130,-4.420492,-3.771568,-2.1406221,-1.4891962,1.2082139,29,5.0,MAP,t-Distribution,Sequential LSTM
131,-5.6383166,-2.4701967,-1.0849074,-0.53160065,1.0262302,29,5.0,MAP,t-Distribution,Sequential LSTM
