Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Day,Model,Estimation_Method,Distribution
-0.6644166,-0.11245802,0.64518636,-0.04578645,1.1774747,138,Sequential RNN,MAP,t-Distribution
-0.5566897,-0.11905905,0.6430722,-0.16471116,1.1973877,139,Sequential RNN,MAP,t-Distribution
-0.6573834,-0.072320685,0.5411487,-0.07457362,1.2631289,140,Sequential RNN,MAP,t-Distribution
-0.5352115,-0.039284952,0.37655437,-0.14696474,1.3449068,141,Sequential RNN,MAP,t-Distribution
-0.31989488,0.15156819,0.054917287,-0.14310119,1.2565106,142,Sequential RNN,MAP,t-Distribution
-0.46060145,-0.113062665,0.5359058,-0.11211343,1.1498718,143,Sequential RNN,MAP,t-Distribution
0.0741616,-0.110303335,0.30187047,-0.10046825,0.8347395,144,Sequential RNN,MAP,t-Distribution
-0.67743737,-0.082839,0.55074435,-0.009923437,1.2194555,145,Sequential RNN,MAP,t-Distribution
-0.56863385,-0.1515625,0.66701305,-0.077724524,1.1309079,146,Sequential RNN,MAP,t-Distribution
-0.42786863,-0.09602805,0.443782,-0.17494754,1.2550622,147,Sequential RNN,MAP,t-Distribution
-0.16797177,-0.0018831384,0.08266798,-0.23978138,1.3269683,148,Sequential RNN,MAP,t-Distribution
-0.6829632,-0.16721275,0.75816494,0.023915429,1.0680956,149,Sequential RNN,MAP,t-Distribution
-0.7393515,-0.095223926,0.47225207,0.29789358,1.0644298,150,Sequential RNN,MAP,t-Distribution
-0.6757222,-0.1528197,0.7717474,-0.06510203,1.1218965,151,Sequential RNN,MAP,t-Distribution
-0.49248534,-0.006473146,0.21707651,-0.13398227,1.4158642,152,Sequential RNN,MAP,t-Distribution
-0.51509416,-0.15886196,0.7764769,-0.1582429,1.0557221,153,Sequential RNN,MAP,t-Distribution
-0.6029403,-0.12285589,0.5985265,-0.053348675,1.1806184,154,Sequential RNN,MAP,t-Distribution
-0.43394166,-0.019081527,0.2913388,-0.15561104,1.3172954,155,Sequential RNN,MAP,t-Distribution
-0.416378,-0.0013446638,0.2996552,-0.14546488,1.2635323,156,Sequential RNN,MAP,t-Distribution
-0.25913283,-0.18887307,0.57875717,0.08025122,0.78899753,157,Sequential RNN,MAP,t-Distribution
-0.33568203,0.06483802,0.28510404,-0.2406,1.2263399,158,Sequential RNN,MAP,t-Distribution
-0.5412781,-0.06315765,0.43329898,-0.15194808,1.3230848,159,Sequential RNN,MAP,t-Distribution
-0.49238437,-0.06426725,0.47292402,-0.22653288,1.3102605,160,Sequential RNN,MAP,t-Distribution
-0.4884216,0.013563481,0.15761653,-0.07718487,1.3944265,161,Sequential RNN,MAP,t-Distribution
-0.3994101,-0.08431953,0.51146835,-0.22171666,1.193978,162,Sequential RNN,MAP,t-Distribution
-0.55980957,-0.022389553,0.28702188,-0.06139259,1.3565698,163,Sequential RNN,MAP,t-Distribution
-0.6513704,-0.09025592,0.5560909,0.02017891,1.1653565,164,Sequential RNN,MAP,t-Distribution
0.050769843,-0.09005486,0.28565875,-0.19582115,0.9494474,165,Sequential RNN,MAP,t-Distribution
-0.47898212,-0.09398724,0.46076414,-0.155937,1.2681422,166,Sequential RNN,MAP,t-Distribution
-0.6240599,-0.14058551,0.6274196,0.0033888367,1.133837,167,Sequential RNN,MAP,t-Distribution
-0.53845525,-0.00851798,0.25208822,-0.0916502,1.3865352,168,Sequential RNN,MAP,t-Distribution
-0.41792157,0.022930887,0.29189202,-0.25196275,1.3550614,169,Sequential RNN,MAP,t-Distribution
-0.46905726,-0.1538407,0.5984022,-0.06251157,1.0870074,170,Sequential RNN,MAP,t-Distribution
-0.42419207,0.22735173,0.14982542,-0.2324504,1.2794653,171,Sequential RNN,MAP,t-Distribution
-0.67346376,-0.052726436,0.30261523,0.28153506,1.1420399,172,Sequential RNN,MAP,t-Distribution
-0.4687398,-0.11605568,0.5900872,-0.19291314,1.1876215,173,Sequential RNN,MAP,t-Distribution
-0.3107022,0.028006785,0.23514731,-0.25108668,1.2986348,174,Sequential RNN,MAP,t-Distribution
-0.5877579,-0.1385118,0.66125166,-0.101372294,1.1663903,175,Sequential RNN,MAP,t-Distribution
-0.24180637,0.15414949,0.020458046,-0.19029117,1.25749,176,Sequential RNN,MAP,t-Distribution
-0.3466072,-0.17301695,0.5224587,0.16401024,0.8331552,177,Sequential RNN,MAP,t-Distribution
-0.39214957,-0.14906499,0.6314363,-0.22315668,1.1329349,178,Sequential RNN,MAP,t-Distribution
-0.6320441,-0.06532362,0.4321392,-0.021388192,1.2866167,179,Sequential RNN,MAP,t-Distribution
-0.7170713,-0.051780574,0.4007784,0.22505611,1.1430173,180,Sequential RNN,MAP,t-Distribution
-0.34451574,-0.028778093,0.38160643,-0.12438498,1.1160724,181,Sequential RNN,MAP,t-Distribution
-0.66512084,0.06049574,0.3126552,0.0448948,1.2470751,182,Sequential RNN,MAP,t-Distribution
-0.5451201,-0.1400703,0.62611353,-0.08123512,1.1403121,183,Sequential RNN,MAP,t-Distribution
-0.68021625,-0.113519825,0.70651263,-0.05890549,1.146129,184,Sequential RNN,MAP,t-Distribution
-0.009058425,0.0045881947,0.18695784,-0.35628277,1.1737951,185,Sequential RNN,MAP,t-Distribution
-0.58417886,-0.07458384,0.29136762,0.26894316,1.098452,186,Sequential RNN,MAP,t-Distribution
-0.6046988,-0.075683706,0.45080462,-0.05140335,1.2809812,187,Sequential RNN,MAP,t-Distribution
-0.44880262,-0.0264752,0.32648948,-0.15420015,1.3029885,188,Sequential RNN,MAP,t-Distribution
-0.35086828,-0.104096875,0.541062,-0.09949379,1.013397,189,Sequential RNN,MAP,t-Distribution
-0.70972455,-0.17679697,0.71237195,0.17020781,1.0039418,190,Sequential RNN,MAP,t-Distribution
-0.6157268,-0.059185755,0.39681274,-0.013699046,1.2917988,191,Sequential RNN,MAP,t-Distribution
-0.38414502,-0.11659405,0.53572744,-0.17064665,1.1356583,192,Sequential RNN,MAP,t-Distribution
-0.5547013,-0.07288659,0.38264725,-0.0096144425,1.2545551,193,Sequential RNN,MAP,t-Distribution
-0.5897173,-0.1767223,0.6809563,0.0707269,1.0147564,194,Sequential RNN,MAP,t-Distribution
-0.31628892,-0.16595003,0.64282435,-0.20593078,1.0453453,195,Sequential RNN,MAP,t-Distribution
-0.5162556,-0.10156001,0.5942966,-0.19056822,1.2140874,196,Sequential RNN,MAP,t-Distribution
-0.5244265,-0.012736374,0.2557749,-0.07130659,1.3526946,197,Sequential RNN,MAP,t-Distribution
-0.5883759,-0.18195495,0.8892133,-0.1842715,1.065389,198,Sequential RNN,MAP,t-Distribution
-0.4961063,-0.03241708,0.33839887,-0.150093,1.3402175,199,Sequential RNN,MAP,t-Distribution
-0.72311825,-0.10400692,0.71583426,-0.055575315,1.1668662,200,Sequential RNN,MAP,t-Distribution
-0.5924175,-0.11840435,0.56998396,-0.05788076,1.1987187,201,Sequential RNN,MAP,t-Distribution
-0.43777797,-0.15245226,0.7140016,-0.19075426,1.0669829,202,Sequential RNN,MAP,t-Distribution
-0.6496487,-0.12853853,0.64403623,0.0039635156,1.1301875,203,Sequential RNN,MAP,t-Distribution
-0.23172942,-0.1495129,0.53722215,-0.20291516,1.0469353,204,Sequential RNN,MAP,t-Distribution
-0.48737016,-0.14560637,0.58097285,-0.07854883,1.1305525,205,Sequential RNN,MAP,t-Distribution
-0.61299455,-0.12119223,0.6366949,-0.09802785,1.1955197,206,Sequential RNN,MAP,t-Distribution
-0.46237427,-0.047411967,0.27145946,0.019273726,1.219053,207,Sequential RNN,MAP,t-Distribution
-0.6576988,-0.11286498,0.6319788,-0.06150452,1.2000895,208,Sequential RNN,MAP,t-Distribution
-0.6396468,-0.13719268,0.5843751,0.08674988,1.1057146,209,Sequential RNN,MAP,t-Distribution
-0.5497597,-0.14987364,0.60778034,-0.012651337,1.1045043,210,Sequential RNN,MAP,t-Distribution
-0.37621528,-0.031801704,0.33250192,-0.19130531,1.2668204,211,Sequential RNN,MAP,t-Distribution
-0.7213772,-0.14741072,0.67971647,0.107081175,1.0819904,212,Sequential RNN,MAP,t-Distribution
-0.6105053,-0.1421994,0.6494604,-0.008534456,1.1117787,213,Sequential RNN,MAP,t-Distribution
-0.57808346,-0.14036801,0.69720083,-0.12726462,1.1485152,214,Sequential RNN,MAP,t-Distribution
-0.6511258,-0.02292707,0.2775221,0.2660564,1.1304744,215,Sequential RNN,MAP,t-Distribution
-0.58370847,-0.18799168,0.816569,-0.08001137,1.0351425,216,Sequential RNN,MAP,t-Distribution
-0.6265819,-0.11250055,0.60767204,-0.072443,1.2038534,217,Sequential RNN,MAP,t-Distribution
-0.30286676,0.008256138,0.18467264,-0.26091278,1.3708508,218,Sequential RNN,MAP,t-Distribution
-0.46686786,-0.12664862,0.56161904,-0.07598446,1.1078819,219,Sequential RNN,MAP,t-Distribution
-0.67935246,-0.105784506,0.50542325,0.118149556,1.1615642,220,Sequential RNN,MAP,t-Distribution
-0.65630364,-0.19414178,0.88888043,-0.061735775,1.0233008,221,Sequential RNN,MAP,t-Distribution
-0.52087134,-0.01946468,0.2567552,-0.08792234,1.3715031,222,Sequential RNN,MAP,t-Distribution
-0.7977021,-0.14452447,0.6885782,0.29781285,0.95583546,223,Sequential RNN,MAP,t-Distribution
-0.6583298,-0.11217815,0.54466665,0.04384855,1.1819928,224,Sequential RNN,MAP,t-Distribution
-0.53465706,-0.09486142,0.4046073,-0.0053527644,1.230264,225,Sequential RNN,MAP,t-Distribution
-0.6799623,-0.14126493,0.7028248,0.020982979,1.0974195,226,Sequential RNN,MAP,t-Distribution
-0.68662757,-0.05196455,0.32817048,0.22601716,1.1844045,227,Sequential RNN,MAP,t-Distribution
-0.6556065,-0.10272395,0.5831196,-0.029214501,1.2044253,228,Sequential RNN,MAP,t-Distribution
-0.671233,-0.10411537,0.44164252,0.27501273,1.058693,229,Sequential RNN,MAP,t-Distribution
-0.65318274,-0.14441042,0.6037319,0.11062965,1.0832317,230,Sequential RNN,MAP,t-Distribution
-0.6508916,-0.13755319,0.6200118,0.042634342,1.1257986,231,Sequential RNN,MAP,t-Distribution
-0.34466702,-0.09120113,0.41027173,-0.21343337,1.2390298,232,Sequential RNN,MAP,t-Distribution
