Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Day
-0.076783374,-0.02342545,0.28000024,-0.26293603,1.0831445,240
-0.03871587,0.0019249046,0.23957054,-0.2474216,1.044642,241
0.2028673,-0.049619526,0.18040337,-0.29351595,0.95986485,242
0.14833383,-0.104550555,0.26063025,-0.26825073,0.9638372,243
0.10551927,-0.047146507,0.27126953,-0.2066452,0.8770029,244
-0.0471532,-0.016782008,0.3062726,-0.18559448,0.9432571,245
-0.13513802,-0.035695232,0.3603699,-0.18870443,0.9991678,246
-0.09898052,-0.038259503,0.34593585,-0.17137921,0.9626834,247
-0.4076961,-0.03229645,0.34679472,-0.18143035,1.2746282,248
-0.31736195,-0.04060172,0.36234656,-0.16416106,1.1597781,249
