Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Asset_16_Weight,Asset_17_Weight,Asset_18_Weight,Asset_19_Weight,Asset_20_Weight,Asset_21_Weight,Asset_22_Weight,Asset_23_Weight,Asset_24_Weight,Asset_25_Weight,Asset_26_Weight,Asset_27_Weight,Asset_28_Weight,Asset_29_Weight,Day
-0.3607343,-0.000987104,0.07048182,-0.05310503,0.19039406,-0.541347,0.083225146,0.34312564,-0.23119557,0.05838456,-0.033348702,0.44637927,0.073350064,-0.24774794,0.2741788,-0.090693615,0.17991842,-0.08049983,-0.21231128,-0.061993774,0.32749742,0.16620529,-0.31236738,0.2865346,0.07646983,-0.02730912,0.6269718,0.081136234,-0.030612249,114
-0.09843772,-0.05438826,0.2719054,-0.08240464,0.17810751,-0.55469984,0.24169599,0.27340716,-0.27805996,0.23810297,-0.30756128,0.19353285,-0.15478592,0.20524147,0.26141113,-0.3420704,-0.07618156,-0.048645128,-0.26616,-0.0523221,0.09562038,0.12505795,-0.19905995,0.15252861,0.35809308,0.100753225,0.7411823,0.110837005,-0.03270031,115
-0.34547675,0.04325279,0.4580969,0.011667813,0.50941783,-0.5375591,0.54093117,-0.0035880636,-0.08321989,0.17042786,-0.47188008,0.12971658,-0.6347725,-0.23811221,0.3157271,-0.21221656,-0.23782602,0.0264279,-0.16795774,0.03704261,0.20843147,0.21634266,-0.049135428,0.13374919,0.45327577,-0.039484143,0.29167283,0.32435548,0.15069252,116
-0.30477595,-0.0017884823,0.53450435,0.0030244666,0.5144771,-0.530519,0.21626593,0.20417581,-0.24784206,-0.042297192,-0.27325818,0.24476013,-0.48650405,-0.17028978,0.4911687,-0.15390447,-0.054483842,-0.06916065,-0.28766048,-0.006613174,0.115279086,0.18743728,-0.13887987,0.0001500952,0.631308,-0.053568132,0.17907661,0.3889069,0.11101087,117
-0.38605288,0.003329086,0.5833858,-0.04191075,0.5630271,-0.5582629,0.18865724,0.44404396,-0.5243165,0.04300835,-0.49331957,0.38747895,-0.31619707,-0.21766026,0.5502109,-0.1161977,0.026640572,-0.016107893,-0.17554106,-0.14684194,0.16867721,0.17121416,-0.26889607,0.037243687,0.4936671,0.082887836,0.12529844,0.22527789,0.16725631,118
-0.3623159,0.038723074,0.5765958,-0.08116396,0.62159973,-0.31560335,0.30675957,0.12280189,-0.6495968,-0.15573753,-0.19676016,0.42218322,-0.05027964,-0.37628004,0.6546799,-0.033397317,0.14731854,-0.10994308,-0.20284152,-0.06216546,0.12984292,0.12097299,-0.29668373,0.028600935,0.22556376,0.21956533,0.0045174966,0.16419403,0.108849294,119
-0.41561723,0.06556985,0.40767545,-0.10255042,0.49882454,-0.25536454,0.34645864,0.09883774,-0.6341258,-0.27975115,-0.42623174,0.28285283,0.52922946,-0.29505366,0.59475166,-0.02235421,0.13439526,-0.05297052,-0.14473528,0.05031338,0.113765255,0.060172018,-0.20073432,0.0876334,0.12855321,0.21471739,-0.0021570749,0.10582399,0.11207194,120
-0.36151284,0.0772022,0.48275506,-0.22929437,0.68849224,-0.20120026,0.45201215,0.14202689,-0.53229934,-0.20129246,-0.76179373,0.5839309,0.20951563,-0.1896753,0.40431538,-0.11111943,0.15007095,0.15619257,-0.31040853,-0.0217879,0.17843872,0.03140744,-0.5434017,0.16734564,0.36100787,-0.013444264,-0.03373975,0.17485622,0.25140005,121
-0.16643469,0.10212752,0.5855074,-0.06599151,0.69746333,-0.19548823,0.81264776,-0.34875295,-0.3052901,0.09309483,-0.48780888,0.03598294,-0.43072808,-0.1953752,0.28523728,-0.06340265,-0.08497812,0.19741237,-0.061279774,-0.17803359,0.16478197,0.11349124,-0.088961765,0.1010428,0.19939253,0.05598932,-0.020487042,0.08553377,0.16330753,122
-0.16884549,0.10451376,0.6397595,0.016391557,0.8066777,-0.21412706,0.7591567,-0.4657088,-0.38977847,0.112127855,-0.4803709,-0.0308201,-0.46606937,-0.1758224,0.31361246,-0.064838395,0.054462247,0.19443758,-0.041002072,-0.22723517,0.16845544,0.052687667,-0.019949984,0.09643653,0.1509108,0.040801153,0.0071366187,0.024035322,0.20296536,123
-0.26689005,0.1131369,0.737637,-0.03504905,0.73764735,-0.12720577,1.0411831,-0.5741651,-0.76873916,0.051053338,-0.5517761,-0.114671,-0.24151257,-0.2755279,0.1890795,0.0032819032,0.17290817,0.1856304,-0.006729455,-0.17494056,0.006440158,-0.015229037,0.045791123,0.12846068,0.15367831,0.2261822,0.0021306763,-0.009753592,0.36794862,124
-0.15500095,0.07585281,0.56769747,0.206445,0.7442839,-0.04810607,1.265422,-0.64800394,-0.5629379,0.19711521,-0.117023595,0.12534593,-0.86052364,0.12472867,-0.22933981,0.049666103,0.18794613,0.13002428,0.0013585689,-0.20731255,-0.02484692,-0.08529505,-0.08487901,0.009208088,0.0697537,0.14684114,-0.073240235,-0.07726154,0.27208233,125
-0.14903568,0.100903146,0.09943169,-0.03773489,-0.080300175,-0.15748926,2.1118078,-1.0237281,-0.52106893,0.0465785,-0.27762246,-0.21210973,0.18688607,0.1952155,-0.17291094,0.037253957,0.2291019,0.030051433,0.056704085,-0.06722608,0.010885769,-0.13462548,0.18860681,0.06914211,0.15528768,0.18582453,0.047768805,-0.018685715,0.1010875,126
