Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Estimation_Method,Distribution,Model
120,-1.2173699,3.9897845,3.030585,2.5192392,1.4074948,5,MAP,Normal,Sequential RNN
121,-1.3160045,4.228687,3.1714373,2.6078217,1.5513692,5,MAP,Normal,Sequential RNN
122,-3.060109,3.2774854,2.5255423,2.124684,1.1033741,5,MAP,Normal,Sequential RNN
123,-1.3806458,3.1986506,2.191616,1.6547697,1.477686,5,MAP,Normal,Sequential RNN
124,-7.058585,3.1208978,2.253857,1.7916405,1.2722646,5,MAP,Normal,Sequential RNN
125,-8.577951,3.241195,2.5622249,2.2002683,0.9962963,5,MAP,Normal,Sequential RNN
126,4.093877,4.5709066,3.0193787,2.192265,2.2766557,5,MAP,Normal,Sequential RNN
127,-1.7749228,2.7965846,1.9962015,1.5695202,1.1744533,5,MAP,Normal,Sequential RNN
128,2.227963,2.7858238,1.8848059,1.4044765,1.3221211,5,MAP,Normal,Sequential RNN
129,2.9229746,3.4214954,2.4777734,1.9746788,1.3847834,5,MAP,Normal,Sequential RNN
130,-3.410643,3.5351279,2.4217205,1.8281673,1.6337736,5,MAP,Normal,Sequential RNN
131,3.5228014,2.7640448,1.6576949,1.067904,1.6234176,5,MAP,Normal,Sequential RNN
132,3.5153277,5.0315003,3.799881,3.143309,1.807234,5,MAP,Normal,Sequential RNN
133,5.3105273,2.343901,1.3671758,0.8464872,1.4332112,5,MAP,Normal,Sequential RNN
134,1.4740553,2.8632662,2.0651066,1.6396106,1.1711905,5,MAP,Normal,Sequential RNN
135,7.881234,2.1936278,1.2751062,0.78544575,1.3478054,5,MAP,Normal,Sequential RNN
136,6.721591,2.768384,2.353517,2.132353,0.6087608,5,MAP,Normal,Sequential RNN
137,-2.275854,3.26007,2.1886985,1.6175542,1.572092,5,MAP,Normal,Sequential RNN
138,-9.035769,2.94666,2.0092747,1.5095578,1.3754857,5,MAP,Normal,Sequential RNN
139,-1.6958475,3.989734,2.8916104,2.3062048,1.6113468,5,MAP,Normal,Sequential RNN
140,0.81470406,2.9842882,2.1195695,1.6585913,1.2688566,5,MAP,Normal,Sequential RNN
141,1.941142,3.4693787,2.5588193,2.0734034,1.336122,5,MAP,Normal,Sequential RNN
142,2.9134068,2.7194853,1.7668302,1.2589734,1.3978916,5,MAP,Normal,Sequential RNN
143,1.9702263,2.337606,1.4696631,1.006966,1.273588,5,MAP,Normal,Sequential RNN
144,4.3127866,1.5249441,0.83894545,0.47324213,1.0066096,5,MAP,Normal,Sequential RNN
145,-0.86942524,1.9488379,1.1305282,0.6942903,1.2007581,5,MAP,Normal,Sequential RNN
146,2.1921046,3.22538,2.2926226,1.7953732,1.3686944,5,MAP,Normal,Sequential RNN
147,0.29596034,2.6983304,1.9343562,1.5270844,1.1210282,5,MAP,Normal,Sequential RNN
148,-1.9967437,4.7124844,3.715523,3.1840465,1.462905,5,MAP,Normal,Sequential RNN
149,2.6517432,3.6151335,2.5349646,1.9591305,1.5850008,5,MAP,Normal,Sequential RNN
150,0.64106107,2.6899004,1.8163188,1.3506156,1.281862,5,MAP,Normal,Sequential RNN
151,-1.1178075,3.196103,2.2316,1.7174271,1.4152768,5,MAP,Normal,Sequential RNN
152,-0.90282106,4.324599,3.2187731,2.6292615,1.6226486,5,MAP,Normal,Sequential RNN
