Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Estimation_Method,Distribution,Model
114,-1.5354367,1.9946868,1.4835724,1.2110991,0.7499909,29,MAP,Normal,Sequential LSTM
115,-5.719952,2.8669548,2.1672428,1.7942288,1.0267322,29,MAP,Normal,Sequential LSTM
116,0.7494114,2.6196008,1.7990515,1.3616197,1.2040445,29,MAP,Normal,Sequential LSTM
117,-0.20046395,0.75987965,0.3970318,0.203599,0.53242975,29,MAP,Normal,Sequential LSTM
118,0.8366735,2.440714,1.8405101,1.5205437,0.88071734,29,MAP,Normal,Sequential LSTM
119,1.3386846,0.6941574,0.3301192,0.13605174,0.5341765,29,MAP,Normal,Sequential LSTM
120,-2.658761,2.3358557,1.7158762,1.3853675,0.90973544,29,MAP,Normal,Sequential LSTM
121,-3.859888,2.0901291,1.4754776,1.1478091,0.9019174,29,MAP,Normal,Sequential LSTM
122,4.461183,2.9383235,2.391391,2.0998235,0.802549,29,MAP,Normal,Sequential LSTM
123,-4.6706257,0.84825844,0.418963,0.19010718,0.6299326,29,MAP,Normal,Sequential LSTM
124,-2.8946514,2.497456,1.8576285,1.5165386,0.93886,29,MAP,Normal,Sequential LSTM
125,-4.134309,2.438168,1.7235087,1.3425266,1.0486652,29,MAP,Normal,Sequential LSTM
126,4.61457,0.8399695,0.5381196,0.37720457,0.44292358,29,MAP,Normal,Sequential LSTM
127,0.38718918,2.2551916,1.7824476,1.5304296,0.69368726,29,MAP,Normal,Sequential LSTM
128,1.9093548,0.5732036,0.36456835,0.25334567,0.30614385,29,MAP,Normal,Sequential LSTM
129,-0.3493727,1.4546543,1.0743037,0.8715403,0.5581127,29,MAP,Normal,Sequential LSTM
130,-3.437291,1.6429896,1.2879747,1.0987177,0.52093595,29,MAP,Normal,Sequential LSTM
131,-2.924246,2.273654,1.8977625,1.6973763,0.55156964,29,MAP,Normal,Sequential LSTM
132,3.5674174,1.7061008,1.2901075,1.068343,0.6104135,29,MAP,Normal,Sequential LSTM
133,-1.047176,0.51087373,0.26645678,0.13615899,0.35864863,29,MAP,Normal,Sequential LSTM
134,2.0017645,1.2516338,0.93213266,0.7618078,0.4688244,29,MAP,Normal,Sequential LSTM
135,3.1444085,0.45829642,0.20041701,0.06294246,0.37840292,29,MAP,Normal,Sequential LSTM
136,1.561113,2.1076841,1.6870742,1.4628485,0.61718786,29,MAP,Normal,Sequential LSTM
137,2.8070152,1.064521,0.68025064,0.47539753,0.5638644,29,MAP,Normal,Sequential LSTM
138,2.179596,2.045504,1.5222206,1.24326,0.7678475,29,MAP,Normal,Sequential LSTM
139,1.3817261,2.9035351,2.0994785,1.6708388,1.1798437,29,MAP,Normal,Sequential LSTM
140,3.7263675,0.9327479,0.4762011,0.23281766,0.66992027,29,MAP,Normal,Sequential LSTM
141,1.7525039,2.6236362,1.915594,1.5381392,1.0389557,29,MAP,Normal,Sequential LSTM
142,2.0255156,0.39662197,0.057032563,-0.124001294,0.4983012,29,MAP,Normal,Sequential LSTM
143,0.41448203,1.8419795,1.3875165,1.145244,0.66686255,29,MAP,Normal,Sequential LSTM
144,-0.11743054,0.8123498,0.46478048,0.2794926,0.5100106,29,MAP,Normal,Sequential LSTM
