Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Estimation_Method,Distribution,Model
79,0.47870782,-2.134327,-1.5877341,-1.2963476,0.8020504,15,MAP,Normal,Sequential LSTM
80,-0.21016102,-1.7241374,-1.2311676,-0.9683672,0.723366,15,MAP,Normal,Sequential LSTM
81,0.19606397,-2.1414683,-1.5875883,-1.2923168,0.81274366,15,MAP,Normal,Sequential LSTM
82,0.26209602,-1.6310021,-1.1856498,-0.948234,0.653494,15,MAP,Normal,Sequential LSTM
83,-0.003323881,-1.7872727,-1.3041966,-1.0466706,0.70884836,15,MAP,Normal,Sequential LSTM
84,0.84169376,-1.7525517,-1.2177826,-0.93269926,0.78470075,15,MAP,Normal,Sequential LSTM
85,0.65090495,-1.5708886,-1.108529,-0.8620467,0.67844987,15,MAP,Normal,Sequential LSTM
86,0.061215542,-2.2394826,-1.6453285,-1.328587,0.8718403,15,MAP,Normal,Sequential LSTM
87,0.7113705,-1.8064835,-1.2716038,-0.9864615,0.784863,15,MAP,Normal,Sequential LSTM
88,0.2930116,-1.6966043,-1.220276,-0.9663471,0.6989469,15,MAP,Normal,Sequential LSTM
89,0.975169,-2.7735329,-2.0588975,-1.6779281,1.04863,15,MAP,Normal,Sequential LSTM
90,-0.07820802,-1.7658457,-1.2840585,-1.0272194,0.70695716,15,MAP,Normal,Sequential LSTM
91,0.076627545,-2.5958118,-1.9645017,-1.6279528,0.92636144,15,MAP,Normal,Sequential LSTM
92,-1.1266567,-1.7733595,-1.1091415,-0.7550493,0.9746496,15,MAP,Normal,Sequential LSTM
93,-0.1958571,-2.05909,-1.3636229,-0.99287194,1.0205032,15,MAP,Normal,Sequential LSTM
94,0.2284652,-2.3395588,-1.7558062,-1.4446099,0.8565775,15,MAP,Normal,Sequential LSTM
95,-0.6620292,-2.1840353,-1.5972139,-1.2843814,0.8610807,15,MAP,Normal,Sequential LSTM
96,-0.22323534,-2.828933,-2.1159687,-1.7358899,1.0461782,15,MAP,Normal,Sequential LSTM
97,-1.3348864,-1.5854701,-0.8232689,-0.41694224,1.1184264,15,MAP,Normal,Sequential LSTM
98,0.4612667,-1.9937736,-1.4776834,-1.2025577,0.7572921,15,MAP,Normal,Sequential LSTM
99,0.73901266,-1.6338258,-1.2035098,-0.9741099,0.6314302,15,MAP,Normal,Sequential LSTM
100,-0.58605754,-2.1571233,-1.6766092,-1.4204488,0.70508903,15,MAP,Normal,Sequential LSTM
101,-0.24765246,-1.7302003,-1.2339817,-0.9694495,0.72813314,15,MAP,Normal,Sequential LSTM
102,0.26979923,-1.5485986,-0.9690145,-0.6600404,0.85046077,15,MAP,Normal,Sequential LSTM
103,0.6569428,-2.400502,-1.7782997,-1.4466059,0.91299707,15,MAP,Normal,Sequential LSTM
104,-0.14026281,-1.7888085,-1.3109542,-1.0562118,0.7011862,15,MAP,Normal,Sequential LSTM
105,-0.15291129,-1.7933646,-1.2908633,-1.0229815,0.73735243,15,MAP,Normal,Sequential LSTM
106,0.03785451,-1.660884,-1.1401553,-0.8625567,0.76409847,15,MAP,Normal,Sequential LSTM
107,-0.41332975,-1.7225776,-1.2214235,-0.9542602,0.7353753,15,MAP,Normal,Sequential LSTM
108,-0.06507166,-2.1943817,-1.5694133,-1.2362449,0.917056,15,MAP,Normal,Sequential LSTM
109,0.45269924,-2.1615055,-1.6243842,-1.3380467,0.7881526,15,MAP,Normal,Sequential LSTM
110,0.41495806,-2.1051543,-1.4835297,-1.1521441,0.9121493,15,MAP,Normal,Sequential LSTM
111,-2.0453236,-1.5233305,-0.98839396,-0.7032213,0.7849464,15,MAP,Normal,Sequential LSTM
112,-1.6000617,-1.761559,-1.1606164,-0.84025615,0.88180137,15,MAP,Normal,Sequential LSTM
113,-1.3680776,-1.6860696,-0.68964314,-0.1584519,1.4621202,15,MAP,Normal,Sequential LSTM
114,-1.4849727,-2.0694954,-1.287851,-0.8711592,1.1469567,15,MAP,Normal,Sequential LSTM
115,-3.7451022,-2.0123878,-1.121095,-0.64594996,1.3078511,15,MAP,Normal,Sequential LSTM
116,0.844463,-3.381112,-2.4467883,-1.9487035,1.3709933,15,MAP,Normal,Sequential LSTM
117,2.3335314,-2.6366673,-2.0711625,-1.769694,0.82980126,15,MAP,Normal,Sequential LSTM
118,3.5101027,-1.83974,-1.2101431,-0.8745072,0.9238479,15,MAP,Normal,Sequential LSTM
119,1.0484285,-3.6456387,-2.8885674,-2.4849756,1.1108989,15,MAP,Normal,Sequential LSTM
120,-0.6258036,-1.986332,-1.0187771,-0.5029771,1.4197552,15,MAP,Normal,Sequential LSTM
