Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Estimation_Method,Distribution,Model
152,0.46568638,-5.2545767,-3.8484426,-3.0988376,2.0633104,15,MAP,Normal,Sequential RNN
153,0.9238276,-3.8003976,-2.9658124,-2.520898,1.2246401,15,MAP,Normal,Sequential RNN
154,0.16953471,-3.0980794,-2.3591368,-1.9652092,1.0842978,15,MAP,Normal,Sequential RNN
155,0.79480743,-4.3881583,-3.5468934,-3.098418,1.2344418,15,MAP,Normal,Sequential RNN
156,-0.23223366,-2.306688,-1.671424,-1.3327671,0.93216336,15,MAP,Normal,Sequential RNN
157,-4.292695,-2.740494,-1.7260203,-1.1852082,1.488602,15,MAP,Normal,Sequential RNN
158,-1.7410941,-4.1319685,-3.245753,-2.7733147,1.3004009,15,MAP,Normal,Sequential RNN
159,-2.3156443,-3.5770297,-2.6007857,-2.0803535,1.4325052,15,MAP,Normal,Sequential RNN
160,-0.16856739,-2.0351412,-1.2300955,-0.8009287,1.1812948,15,MAP,Normal,Sequential RNN
161,1.5737859,-4.1545534,-3.2896636,-2.828594,1.2691084,15,MAP,Normal,Sequential RNN
162,0.32601026,-2.7514465,-2.1446955,-1.8212389,0.8903244,15,MAP,Normal,Sequential RNN
163,-0.3638059,-3.2144701,-2.4264405,-2.0063448,1.156326,15,MAP,Normal,Sequential RNN
164,2.1247647,-3.942072,-3.0490496,-2.572983,1.3103883,15,MAP,Normal,Sequential RNN
165,0.85398006,-2.4341776,-1.6592634,-1.2461594,1.1370813,15,MAP,Normal,Sequential RNN
166,-1.4268503,-2.4229276,-1.880939,-1.5920069,0.7952945,15,MAP,Normal,Sequential RNN
167,-1.2378942,-2.4552805,-1.5572203,-1.0784677,1.3177811,15,MAP,Normal,Sequential RNN
168,-1.487112,-3.1734655,-2.3076143,-1.8460321,1.2705188,15,MAP,Normal,Sequential RNN
169,-1.9719034,-4.005045,-3.0924017,-2.605875,1.3391794,15,MAP,Normal,Sequential RNN
170,0.8882086,-2.8691409,-2.1600564,-1.782046,1.0404851,15,MAP,Normal,Sequential RNN
171,-0.2325364,-1.6461644,-1.0170344,-0.68164754,0.92316264,15,MAP,Normal,Sequential RNN
172,-0.93020725,-2.5981798,-1.9094666,-1.5423162,1.0105928,15,MAP,Normal,Sequential RNN
173,-0.6994754,-1.9752778,-1.3693409,-1.0463183,0.8891298,15,MAP,Normal,Sequential RNN
174,-1.580364,-2.5256236,-1.8175695,-1.4401085,1.0389727,15,MAP,Normal,Sequential RNN
175,-1.9114769,-2.310483,-1.5959842,-1.2150875,1.0484296,15,MAP,Normal,Sequential RNN
176,-2.5722625,-1.8436977,-1.2099617,-0.87211937,0.9299212,15,MAP,Normal,Sequential RNN
177,2.9859307,-2.6939743,-1.8537819,-1.4058785,1.2328678,15,MAP,Normal,Sequential RNN
178,1.0715287,-2.6885784,-2.0329301,-1.6834066,0.96207446,15,MAP,Normal,Sequential RNN
179,-0.24885628,-3.7911043,-2.8611045,-2.3653252,1.364648,15,MAP,Normal,Sequential RNN
