Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Model
223,-0.39739802,6.5858,4.978858,4.1222944,2.3596787,2,Sequential LSTM
224,3.716147,6.127877,4.6268506,3.826744,2.2041485,2,Sequential LSTM
225,0.41663823,4.6547246,3.41706,2.7573354,1.8174222,2,Sequential LSTM
226,0.7112137,3.3493493,2.2004206,1.5879962,1.6871186,2,Sequential LSTM
227,-1.0744059,3.866662,2.7252243,2.1167936,1.6761192,2,Sequential LSTM
228,1.7971351,6.854523,5.209889,4.333235,2.4150283,2,Sequential LSTM
229,1.1666973,4.132472,2.8144457,2.1118867,1.9354249,2,Sequential LSTM
230,0.34324262,4.352956,3.202236,2.5888574,1.6897492,2,Sequential LSTM
231,-0.7617413,3.9965198,2.9137866,2.336649,1.5899136,2,Sequential LSTM
232,0.3829366,3.5419354,2.4293528,1.8363022,1.6337485,2,Sequential LSTM
233,-0.28350344,3.4169095,2.3185408,1.733068,1.6128743,2,Sequential LSTM
234,0.81741977,6.200677,4.7004414,3.9007561,2.2029912,2,Sequential LSTM
235,1.4755903,3.6075385,2.3281884,1.6462439,1.8786343,2,Sequential LSTM
236,-1.9959626,4.507519,3.3253195,2.6951587,1.7359773,2,Sequential LSTM
237,-0.79391474,6.9496837,5.2448397,4.336091,2.503441,2,Sequential LSTM
238,0.37173912,3.654759,2.4572606,1.8189474,1.7584397,2,Sequential LSTM
239,0.79290664,3.4206748,2.2867217,1.6822801,1.6651291,2,Sequential LSTM
240,0.112026244,3.8503385,2.69719,2.0825157,1.693317,2,Sequential LSTM
241,0.46883816,3.895281,2.7880366,2.1978319,1.6259093,2,Sequential LSTM
242,0.2717968,3.8897958,2.7985046,2.2168033,1.6024824,2,Sequential LSTM
243,0.81596273,3.7950299,2.4184394,1.6846615,2.0214257,2,Sequential LSTM
244,-3.7118375,5.866322,4.4298444,3.6641457,2.1093643,2,Sequential LSTM
245,0.7758979,3.4475434,2.277865,1.6543807,1.7175887,2,Sequential LSTM
246,0.6350432,3.9272363,2.8070948,2.210016,1.6448469,2,Sequential LSTM
247,-4.0940347,3.6696246,2.5899715,2.0144732,1.5853953,2,Sequential LSTM
248,0.67169416,4.332539,3.025754,2.3291864,1.9189198,2,Sequential LSTM
249,-1.4571922,4.088907,3.0288138,2.463743,1.5566704,2,Sequential LSTM
