Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Estimation_Method,Distribution,Model
99,0.85937244,2.4346836,1.3349372,0.89568096,0.8146983,5,5.0,MAP,t-Distribution,Sequential LSTM
100,1.294429,2.3714843,1.3980709,1.0092741,0.72111017,5,5.0,MAP,t-Distribution,Sequential LSTM
101,0.42909873,3.1674998,1.9748706,1.4985154,0.8835065,5,5.0,MAP,t-Distribution,Sequential LSTM
102,-0.6323415,3.2516615,2.0496075,1.5694877,0.89048856,5,5.0,MAP,t-Distribution,Sequential LSTM
103,-0.5404671,2.6986763,1.6409106,1.218422,0.7835989,5,5.0,MAP,t-Distribution,Sequential LSTM
104,-0.24160676,2.6725755,1.502239,1.0347879,0.86699194,5,5.0,MAP,t-Distribution,Sequential LSTM
105,-0.5654452,2.3508184,1.3435907,0.941288,0.7461599,5,5.0,MAP,t-Distribution,Sequential LSTM
106,-0.42613736,2.6178153,1.6335046,1.2403553,0.7291829,5,5.0,MAP,t-Distribution,Sequential LSTM
107,-1.9414525,2.4612212,1.4646487,1.0666016,0.73826665,5,5.0,MAP,t-Distribution,Sequential LSTM
108,-0.43089718,3.3731666,1.9839401,1.4290608,1.0291469,5,5.0,MAP,t-Distribution,Sequential LSTM
109,-0.61531305,2.2308862,1.2141383,0.8080329,0.75321263,5,5.0,MAP,t-Distribution,Sequential LSTM
110,0.43913242,3.306282,2.0559118,1.556494,0.9262814,5,5.0,MAP,t-Distribution,Sequential LSTM
111,1.8438812,3.514618,2.356664,1.8941586,0.85781896,5,5.0,MAP,t-Distribution,Sequential LSTM
112,-3.8978148,4.708897,3.3045728,2.7436633,1.0403312,5,5.0,MAP,t-Distribution,Sequential LSTM
113,0.9921224,3.2046332,1.8507938,1.3100487,1.002932,5,5.0,MAP,t-Distribution,Sequential LSTM
114,-2.5873365,3.0610425,1.8633016,1.3849046,0.8872934,5,5.0,MAP,t-Distribution,Sequential LSTM
115,-0.8602984,3.9966648,2.4450588,1.8253226,1.1494385,5,5.0,MAP,t-Distribution,Sequential LSTM
116,0.56739604,3.9337711,2.5816448,2.041584,1.0016629,5,5.0,MAP,t-Distribution,Sequential LSTM
117,-1.4075524,2.6934383,1.5102396,1.0376511,0.8765204,5,5.0,MAP,t-Distribution,Sequential LSTM
118,1.3033237,2.7496996,1.4221911,0.89196306,0.9834258,5,5.0,MAP,t-Distribution,Sequential LSTM
119,0.7908726,3.1538823,1.8806499,1.3721005,0.9432178,5,5.0,MAP,t-Distribution,Sequential LSTM
120,-1.1502968,3.8114288,2.5498912,2.0460129,0.9345543,5,5.0,MAP,t-Distribution,Sequential LSTM
