Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Model
130,-2.2611969,0.6877082,0.17092787,-0.035482425,0.38283378,15,5.0,Sequential LSTM
131,-5.128335,1.3128946,0.8720995,0.6960389,0.32654345,15,5.0,Sequential LSTM
132,4.449742,1.202872,0.76186156,0.5857151,0.32670307,15,5.0,Sequential LSTM
133,0.14427465,1.2509961,0.87372506,0.723037,0.2794844,15,5.0,Sequential LSTM
134,3.2541926,1.0247669,0.6038698,0.43575665,0.311803,15,5.0,Sequential LSTM
135,3.233238,1.1236771,0.6766513,0.49810165,0.3311594,15,5.0,Sequential LSTM
136,5.425927,1.7167903,1.0429885,0.7738615,0.4991559,15,5.0,Sequential LSTM
137,1.9624695,1.6578994,1.0560992,0.8157305,0.44581717,15,5.0,Sequential LSTM
138,-3.0212526,2.1378088,1.1920186,0.81425476,0.7006466,15,5.0,Sequential LSTM
139,1.4332312,0.99782187,0.41519082,0.18247843,0.4316166,15,5.0,Sequential LSTM
140,-0.39982602,1.2002823,0.50523376,0.2276202,0.51489615,15,5.0,Sequential LSTM
141,1.549489,1.6368138,1.0282426,0.7851699,0.45083275,15,5.0,Sequential LSTM
142,1.010281,1.502552,1.0595822,0.88265276,0.32815474,15,5.0,Sequential LSTM
143,1.9097629,1.5250624,0.9337597,0.6975842,0.43804023,15,5.0,Sequential LSTM
144,-0.5441331,1.062156,0.541983,0.33421767,0.38534686,15,5.0,Sequential LSTM
145,-0.77563494,1.7425895,1.129856,0.88512063,0.4539163,15,5.0,Sequential LSTM
146,3.4878826,2.1160839,1.3462142,1.038716,0.57032377,15,5.0,Sequential LSTM
147,0.8058276,2.2758064,1.5132034,1.2086071,0.5649407,15,5.0,Sequential LSTM
148,0.07003441,0.91192305,0.15744573,-0.14390449,0.55892104,15,5.0,Sequential LSTM
149,2.4775314,1.3150624,0.6444617,0.37661302,0.49678463,15,5.0,Sequential LSTM
150,-1.4297731,1.5454788,0.84891814,0.5707009,0.51601595,15,5.0,Sequential LSTM
151,-0.7609719,2.2467256,1.3777362,1.0306469,0.64375323,15,5.0,Sequential LSTM
152,0.886304,1.6929879,1.0310082,0.7666033,0.490398,15,5.0,Sequential LSTM
153,1.6177053,1.4571627,0.6797963,0.36930358,0.57587755,15,5.0,Sequential LSTM
154,0.5419282,1.474514,0.6913088,0.3784843,0.58020276,15,5.0,Sequential LSTM
155,1.9961303,1.3616558,0.7451772,0.498946,0.45669067,15,5.0,Sequential LSTM
156,-0.35196608,1.9328748,1.2459245,0.97154546,0.5088967,15,5.0,Sequential LSTM
157,-2.5101616,2.1135066,1.3362184,1.0257573,0.57581943,15,5.0,Sequential LSTM
158,0.81732285,1.5580353,0.754972,0.4342154,0.59491414,15,5.0,Sequential LSTM
159,-1.7302417,1.8982666,1.3213364,1.0909007,0.42739353,15,5.0,Sequential LSTM
160,0.48269883,0.87239945,0.23572797,-0.018568682,0.47164962,15,5.0,Sequential LSTM
161,1.0078735,1.450448,0.74901736,0.4688548,0.5196236,15,5.0,Sequential LSTM
162,0.14076763,1.7912052,1.05359,0.75897443,0.5464299,15,5.0,Sequential LSTM
163,0.093156956,2.2197917,1.5004535,1.2131383,0.53288996,15,5.0,Sequential LSTM
164,2.6374993,1.7958653,1.0902762,0.80845255,0.5227045,15,5.0,Sequential LSTM
165,1.5630896,1.8197781,1.1838181,0.9298058,0.4711226,15,5.0,Sequential LSTM
166,-0.02594263,2.045963,1.2440897,0.9238085,0.5940321,15,5.0,Sequential LSTM
167,-1.0996442,2.1510983,1.3202702,0.98842424,0.61548257,15,5.0,Sequential LSTM
