Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Model
117,-1.4759359,0.38753077,0.0009289422,-0.15348607,0.28639692,10,5.0,Sequential RNN
118,3.8771844,2.2570858,1.506188,1.2062678,0.55626917,10,5.0,Sequential RNN
119,-0.55830514,-0.19844401,-0.55759615,-0.7010473,0.2660619,10,5.0,Sequential RNN
120,-1.1119523,1.7438868,1.3140908,1.1424235,0.31839564,10,5.0,Sequential RNN
121,3.2914855,1.6555268,0.6928868,0.30839303,0.7131291,10,5.0,Sequential RNN
122,0.6534876,2.2334855,1.7028494,1.4909052,0.39309824,10,5.0,Sequential RNN
123,2.4786952,0.850517,0.37843636,0.1898798,0.34972018,10,5.0,Sequential RNN
124,-2.3030725,1.3545896,0.8864285,0.699437,0.34681648,10,5.0,Sequential RNN
125,-10.742734,1.8082068,1.4608977,1.3221767,0.25728893,10,5.0,Sequential RNN
126,-12.558778,0.6952514,0.4853664,0.40153494,0.15548405,10,5.0,Sequential RNN
127,10.013417,1.0897744,0.7534607,0.6191317,0.24914287,10,5.0,Sequential RNN
128,1.0966,0.41263264,0.20469803,0.12164571,0.15403906,10,5.0,Sequential RNN
129,-8.625584,0.879901,0.4484416,0.27610955,0.31962773,10,5.0,Sequential RNN
130,-11.824826,2.423098,2.0127592,1.8488635,0.3039809,10,5.0,Sequential RNN
131,-4.6452804,0.21064429,-0.0875409,-0.20664081,0.22089733,10,5.0,Sequential RNN
132,2.1373794,0.8305546,0.3776834,0.19679949,0.33548957,10,5.0,Sequential RNN
133,1.913747,0.19665235,0.03303639,-0.03231445,0.121207684,10,5.0,Sequential RNN
134,3.099967,-0.47769174,-0.6706354,-0.7477003,0.14293393,10,5.0,Sequential RNN
135,4.267052,0.5758338,0.3105209,0.2045506,0.19654532,10,5.0,Sequential RNN
136,5.0642943,2.1624174,1.8734765,1.7580695,0.21404885,10,5.0,Sequential RNN
137,4.874479,-0.41513023,-0.91275054,-1.1115085,0.36864007,10,5.0,Sequential RNN
138,-2.457838,1.5336223,0.8679284,0.6020393,0.49315,10,5.0,Sequential RNN
139,1.4339595,1.6077808,0.9697031,0.7148446,0.4726918,10,5.0,Sequential RNN
140,-0.5184307,0.910396,0.3910309,0.18358815,0.38474846,10,5.0,Sequential RNN
141,-1.7504935,2.0323746,1.2978783,1.0045083,0.54411966,10,5.0,Sequential RNN
142,0.41418767,0.48035198,0.24871981,0.15620221,0.1715944,10,5.0,Sequential RNN
143,-0.07796365,0.49366203,0.19041568,0.069294244,0.22464664,10,5.0,Sequential RNN
144,2.6168199,1.064508,0.74504066,0.6174403,0.23666327,10,5.0,Sequential RNN
145,-0.8693525,0.87793297,0.40464944,0.21561253,0.35061112,10,5.0,Sequential RNN
146,4.4534874,1.9859033,1.2575593,0.9666472,0.5395612,10,5.0,Sequential RNN
147,4.2333875,1.8853177,1.1719593,0.88703233,0.5284597,10,5.0,Sequential RNN
148,-2.6002166,1.3893564,0.7724844,0.5260964,0.4569818,10,5.0,Sequential RNN
149,3.329259,0.8809916,0.03081149,-0.30876407,0.6298183,10,5.0,Sequential RNN
150,-3.982827,1.8831275,1.3766665,1.1743776,0.37518927,10,5.0,Sequential RNN
151,0.83476305,1.2717613,0.4607443,0.13681109,0.60080606,10,5.0,Sequential RNN
152,1.7636021,1.584089,0.64355546,0.26789114,0.6967528,10,5.0,Sequential RNN
153,1.545032,2.0624826,1.244495,0.9177772,0.60596997,10,5.0,Sequential RNN
154,1.6448174,3.1701608,2.2403383,1.8689523,0.6888178,10,5.0,Sequential RNN
155,3.1213267,1.064447,0.407099,0.14454366,0.48696724,10,5.0,Sequential RNN
156,0.74771094,0.35723156,-0.03265483,-0.18838166,0.28883013,10,5.0,Sequential RNN
157,3.9167285,1.7639977,1.231277,1.0185001,0.39464256,10,5.0,Sequential RNN
158,-0.6233611,1.6279321,1.0481002,0.8165059,0.42954293,10,5.0,Sequential RNN
159,-5.9708614,2.2522216,1.6690167,1.4360757,0.43204135,10,5.0,Sequential RNN
