Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Estimation_Method,Distribution,Model
83,-0.0627245,1.3075067,0.785441,0.57691956,0.38674924,15,5.0,MAP,t-Distribution,Sequential RNN
84,0.68180436,1.6728604,1.0166073,0.7544893,0.48615605,15,5.0,MAP,t-Distribution,Sequential RNN
85,0.8387975,1.2678541,0.7580173,0.55438036,0.37768996,15,5.0,MAP,t-Distribution,Sequential RNN
86,0.17750798,1.1367127,0.5729574,0.34778452,0.4176331,15,5.0,MAP,t-Distribution,Sequential RNN
87,0.7438003,1.4078372,0.8614061,0.6431528,0.40479922,15,5.0,MAP,t-Distribution,Sequential RNN
88,0.4531004,1.378513,0.8052619,0.57629627,0.42466763,15,5.0,MAP,t-Distribution,Sequential RNN
89,0.50996107,1.5800662,0.9525377,0.7018928,0.46487665,15,5.0,MAP,t-Distribution,Sequential RNN
90,-0.0012914529,1.3757783,0.819595,0.59744644,0.4120238,15,5.0,MAP,t-Distribution,Sequential RNN
91,-0.29330972,1.4848881,0.90124464,0.66812813,0.4323664,15,5.0,MAP,t-Distribution,Sequential RNN
92,-1.1663711,1.8923281,1.2665226,1.0165658,0.46360034,15,5.0,MAP,t-Distribution,Sequential RNN
93,0.26788783,1.4888606,0.8827856,0.6407096,0.44898382,15,5.0,MAP,t-Distribution,Sequential RNN
94,0.1668988,1.1762718,0.5809671,0.34319293,0.4410051,15,5.0,MAP,t-Distribution,Sequential RNN
95,-0.63925076,1.5145857,0.98929065,0.7794794,0.38914162,15,5.0,MAP,t-Distribution,Sequential RNN
96,-0.024917834,1.6528949,0.89782476,0.59623766,0.55936027,15,5.0,MAP,t-Distribution,Sequential RNN
97,-0.97178537,1.9967827,1.2845715,1.0001029,0.52761006,15,5.0,MAP,t-Distribution,Sequential RNN
98,0.86724323,1.1562378,0.5911653,0.3654663,0.41860893,15,5.0,MAP,t-Distribution,Sequential RNN
99,1.1772327,1.1095895,0.5534955,0.33138272,0.41195753,15,5.0,MAP,t-Distribution,Sequential RNN
100,-0.4884104,1.1877884,0.56184715,0.3118362,0.4637008,15,5.0,MAP,t-Distribution,Sequential RNN
101,-0.48196435,1.7618585,1.1337804,0.8829159,0.46528384,15,5.0,MAP,t-Distribution,Sequential RNN
102,0.05477102,1.1217229,0.71038914,0.54609585,0.3047184,15,5.0,MAP,t-Distribution,Sequential RNN
