Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Model
126,-5.932623,0.46110287,0.21681504,0.11924261,0.18096972,29,5.0,Sequential LSTM
127,4.786932,0.73300123,0.5020031,0.40973896,0.17112464,29,5.0,Sequential LSTM
128,-1.5494014,0.41062766,0.19286205,0.105883025,0.16132197,29,5.0,Sequential LSTM
129,-0.8398154,0.7459125,0.46902692,0.35843432,0.20511846,29,5.0,Sequential LSTM
130,-2.3850868,0.49215558,0.112754196,-0.038784783,0.28106263,29,5.0,Sequential LSTM
131,-3.6978288,1.2028546,0.78705275,0.6209748,0.30802837,29,5.0,Sequential LSTM
132,5.111232,1.2380604,0.8516303,0.6972836,0.28626958,29,5.0,Sequential LSTM
133,0.7039675,0.46321833,0.23965572,0.15036115,0.16561645,29,5.0,Sequential LSTM
134,3.7083368,0.85327524,0.51723117,0.3830096,0.2489434,29,5.0,Sequential LSTM
135,-0.39682657,0.1717774,-0.095244296,-0.2018971,0.19781117,29,5.0,Sequential LSTM
136,1.2473183,1.9779711,1.4882715,1.2926773,0.36277255,29,5.0,Sequential LSTM
137,-0.28459716,0.8897093,0.5112315,0.3600613,0.2803786,29,5.0,Sequential LSTM
138,-0.36287674,1.0751115,0.47204658,0.23117277,0.44675407,29,5.0,Sequential LSTM
139,0.73465705,1.2197168,0.8363584,0.6832393,0.28399402,29,5.0,Sequential LSTM
140,-0.45129785,0.5930347,0.13183033,-0.052382097,0.34166285,29,5.0,Sequential LSTM
141,3.640247,1.9356182,1.3375931,1.0987321,0.44302052,29,5.0,Sequential LSTM
142,-0.55444473,0.49577007,0.23503512,0.13089347,0.19315387,29,5.0,Sequential LSTM
143,2.1697,1.7500861,1.2723294,1.0815053,0.353925,29,5.0,Sequential LSTM
144,0.58845955,0.522673,0.18278976,0.047034897,0.25178754,29,5.0,Sequential LSTM
145,-0.33569774,0.7815044,0.37478787,0.2123387,0.30129802,29,5.0,Sequential LSTM
