Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Nu,Model
183,1.388128,-2.5422082,-1.4333186,-0.99041057,0.82147163,10,5.0,Sequential RNN
184,4.7225904,-2.7423017,-1.5831237,-1.1201291,0.8587259,10,5.0,Sequential RNN
185,-2.7001352,-1.9530925,-1.2365209,-0.9503108,0.53084016,10,5.0,Sequential RNN
186,-2.149871,-1.7799518,-0.9661104,-0.6410487,0.60289836,10,5.0,Sequential RNN
187,-6.8455915,-1.5105318,-0.8022492,-0.5193498,0.52469957,10,5.0,Sequential RNN
188,-1.480247,-2.3620746,-1.2784297,-0.8456043,0.80277056,10,5.0,Sequential RNN
189,0.21061347,-2.4689412,-1.3891182,-0.9578195,0.79993933,10,5.0,Sequential RNN
190,1.7388464,-1.9189703,-1.0561608,-0.7115405,0.6391743,10,5.0,Sequential RNN
191,0.11420166,-2.380646,-1.6039892,-1.2937802,0.5753518,10,5.0,Sequential RNN
192,-1.9124732,-3.580683,-2.197708,-1.6453251,1.0245163,10,5.0,Sequential RNN
193,-0.5239065,-3.1245444,-1.7484077,-1.1987572,1.0194494,10,5.0,Sequential RNN
194,-0.16780208,-3.243341,-2.1665483,-1.7364588,0.7976948,10,5.0,Sequential RNN
195,-0.025006795,-2.7373552,-1.6353306,-1.1951637,0.8163863,10,5.0,Sequential RNN
196,1.6398336,-4.443685,-2.9644554,-2.3736281,1.0958213,10,5.0,Sequential RNN
197,-0.64385796,-2.0843904,-1.187344,-0.829049,0.66453725,10,5.0,Sequential RNN
198,-0.80017585,-2.7911878,-1.6663315,-1.2170463,0.8332998,10,5.0,Sequential RNN
199,2.5415995,-1.832835,-0.62900853,-0.14818108,0.89180136,10,5.0,Sequential RNN
200,3.0855656,-3.1663895,-1.9986289,-1.5322063,0.86508393,10,5.0,Sequential RNN
201,0.57328755,-3.6958468,-2.3571498,-1.8224529,0.99171466,10,5.0,Sequential RNN
202,-0.021053027,-4.5118284,-3.1567543,-2.6155152,1.003847,10,5.0,Sequential RNN
203,2.7792928,-3.2591164,-2.1006913,-1.6379976,0.8581681,10,5.0,Sequential RNN
204,-0.069817565,-1.8580775,-1.3357767,-1.1271615,0.38692325,10,5.0,Sequential RNN
205,0.6286088,-4.20024,-2.4413524,-1.7388258,1.3029934,10,5.0,Sequential RNN
206,0.9296051,-3.0378418,-2.0785537,-1.6953993,0.7106463,10,5.0,Sequential RNN
207,2.1465476,-3.7257974,-2.4350843,-1.9195518,0.95616823,10,5.0,Sequential RNN
208,0.13222978,-1.4164127,-0.61144745,-0.2899316,0.59632283,10,5.0,Sequential RNN
209,1.1010213,-2.8096113,-1.7653891,-1.3483102,0.7735653,10,5.0,Sequential RNN
210,0.91843134,-2.3759677,-1.4635831,-1.0991621,0.67590004,10,5.0,Sequential RNN
211,-0.48069426,-2.3752954,-1.472934,-1.1125168,0.6684745,10,5.0,Sequential RNN
212,-0.26092622,-2.7571383,-1.3217436,-0.74842393,1.0633484,10,5.0,Sequential RNN
213,-2.2896235,-4.4826436,-3.216263,-2.7104511,0.93814135,10,5.0,Sequential RNN
214,0.5494561,-2.2781913,-1.5831923,-1.3055989,0.5148587,10,5.0,Sequential RNN
215,-0.34002125,-1.7583057,-1.07361,-0.8001314,0.50722647,10,5.0,Sequential RNN
216,0.18672492,-2.729075,-1.8801644,-1.5410962,0.6288777,10,5.0,Sequential RNN
217,-1.1056838,-1.9420694,-0.9363441,-0.53464115,0.7450474,10,5.0,Sequential RNN
218,-0.6280932,-2.1628556,-1.1606567,-0.76036245,0.74243456,10,5.0,Sequential RNN
219,-2.0400226,-2.994459,-1.8935616,-1.453846,0.81555104,10,5.0,Sequential RNN
220,-0.7827419,-3.1449518,-2.002178,-1.5457361,0.8465731,10,5.0,Sequential RNN
