Day,Actual_Returns,N_Assets,VaR_1_percent,Violation_1_percent,VaR_5_percent,Violation_5_percent,VaR_10_percent,Violation_10_percent
218,0.0023580776606428235,30,-0.013475712072411593,false,-0.009477008257263893,false,-0.00734531404971445,false
219,0.0032609438181129043,30,-0.013050014666992503,false,-0.009169759403427437,false,-0.007101209680434422,false
220,0.004101987165882575,30,-0.01291869994543966,false,-0.009072839394077898,false,-0.007022625364890553,false
221,0.007275917255765835,30,-0.012575621132689617,false,-0.00882702237944553,false,-0.006828658254939266,false
222,0.0011220140183409186,30,-0.01291672870851882,false,-0.009080225651077951,false,-0.007035000067274528,false
223,-0.0037479532560283275,30,-0.01251238632269986,false,-0.008788768804631348,false,-0.006803722084159733,false
224,-0.003072370856029848,30,-0.012524656779257782,false,-0.008808046033782017,false,-0.006826734597852605,false
225,-0.003125605919934969,30,-0.012314119787302874,false,-0.008654611315756901,false,-0.006703740890765316,false
226,-0.0006414382133615591,30,-0.012220793308506986,false,-0.0085916945762914,false,-0.006657035470812433,false
227,-0.000404164682453021,30,-0.011816505795406688,false,-0.008300859731784186,false,-0.006426681824126057,false
228,-0.009787346080354208,30,-0.011448711410868978,false,-0.008044331769663765,true,-0.006229469580079875,true
229,-0.0024911317540483374,30,-0.012823564339934633,false,-0.009023113354116728,false,-0.006997106996292909,false
230,0.0007885252191072953,30,-0.012645091332810323,false,-0.008897173294930765,false,-0.0068991720572665,false
231,0.002959936079438527,30,-0.012294630416301949,false,-0.008645248638489,false,-0.006699776716454935,false
232,0.0029151913221223042,30,-0.012117830304950275,false,-0.008521555498384428,false,-0.006604394706211766,false
233,0.005120809003369652,30,-0.01199890153544873,false,-0.00843420858215095,false,-0.006533883959093934,false
234,0.0048028844978011955,30,-0.012063954351349417,false,-0.008488478955181147,false,-0.006582406251727885,false
235,0.0022256417066657966,30,-0.011980881400932989,false,-0.008422063781150253,false,-0.006524871276649754,false
236,0.0067857879222921,30,-0.011899234445183265,false,-0.00836576579464967,false,-0.006482086731857721,false
237,-0.011403475376186639,30,-0.011992452141620718,false,-0.008427156908667091,true,-0.006526511212554147,true
238,-0.005656369884512985,30,-0.013505219660743563,false,-0.009509440864694659,false,-0.0073793059740034075,false
239,0.0015250390711161784,30,-0.013446325527946687,false,-0.009462588099585563,false,-0.007338872417452291,false
240,0.0030106078461700518,30,-0.013276653880401256,false,-0.009340121648714077,false,-0.0072415708822554485,false
241,0.0029876182438711863,30,-0.01319410764804365,false,-0.00927679916854256,false,-0.007188496513241158,false
242,-0.007927880846395336,30,-0.012978470403412528,false,-0.009120379788092638,false,-0.007063645957063819,true
243,-0.0036247211035882513,30,-0.01444474912440519,false,-0.010179029326478616,false,-0.007904989886542455,false
244,-0.0020775093579785994,30,-0.014226590819661183,false,-0.010021152147160272,false,-0.00777924835213176,false
245,-0.006116909482407116,30,-0.014133679321694868,false,-0.009956271231694064,false,-0.007729310436475483,false
