Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Day,N_Assets,Model
0.2520144,-0.030972838,0.055397276,-0.41585708,1.1394184,203,5,Sequential LSTM
0.48443946,-0.19825484,0.60493255,-0.37520617,0.48408887,204,5,Sequential LSTM
-0.111633204,-0.3299088,0.8740483,-0.34926292,0.91675645,205,5,Sequential LSTM
-0.4695222,-0.62960196,1.8125658,-0.10337806,0.38993663,206,5,Sequential LSTM
-0.47473618,-0.2553167,0.16596323,0.6280526,0.93603736,207,5,Sequential LSTM
0.5745962,0.105537176,-0.25080267,-0.24780264,0.8184717,208,5,Sequential LSTM
0.023492498,-0.13939191,0.33656722,-0.29579294,1.0751251,209,5,Sequential LSTM
0.15970056,-0.3208585,0.60495037,-0.039703257,0.59591067,210,5,Sequential LSTM
0.23162782,-0.15208267,0.4149309,-0.28526464,0.7907887,211,5,Sequential LSTM
-0.33254978,-0.49456692,1.2339036,0.061372012,0.5318409,212,5,Sequential LSTM
-0.5544547,-0.7816611,2.0316923,0.16699094,0.13743262,213,5,Sequential LSTM
0.64008063,-0.06840608,0.27555045,-0.5921541,0.7449289,214,5,Sequential LSTM
-0.21465425,-0.2684301,0.6227907,-0.3033819,1.1636758,215,5,Sequential LSTM
-0.43594447,-0.6360952,1.9699231,-0.12980755,0.23192376,216,5,Sequential LSTM
-0.3921793,-0.5238392,1.7004951,-0.19783883,0.41336212,217,5,Sequential LSTM
0.030441292,-0.2961933,0.79724866,-0.3938139,0.86231714,218,5,Sequential LSTM
0.35123786,-0.24749641,0.69332945,-0.46719536,0.6701243,219,5,Sequential LSTM
-0.401875,-0.30783802,0.42828247,0.16073859,1.1206918,220,5,Sequential LSTM
-0.2987299,-0.78636557,2.0308952,-0.10685957,0.1610599,221,5,Sequential LSTM
-0.055107724,-0.08466997,0.10536483,-0.325599,1.3600119,222,5,Sequential LSTM
-0.5783126,-0.41836417,0.9380362,0.36822984,0.69041055,223,5,Sequential LSTM
0.11148431,-0.3420437,0.91919875,-0.44416717,0.75552756,224,5,Sequential LSTM
-0.3365814,-0.25862363,0.5278298,-0.18143266,1.2488081,225,5,Sequential LSTM
0.8320416,-0.07168621,0.30899322,-0.54115796,0.47180942,226,5,Sequential LSTM
-0.61578953,-0.3306689,0.22844592,1.216754,0.5012589,227,5,Sequential LSTM
-0.3286179,-0.43583846,1.0177557,-0.12325485,0.86995584,228,5,Sequential LSTM
-0.70965964,-0.5942569,1.0349666,0.7519062,0.5170438,229,5,Sequential LSTM
0.007927499,-0.16293469,0.4032337,-0.2986654,1.0504386,230,5,Sequential LSTM
0.038146295,-0.17823552,0.42518535,-0.36759126,1.0824952,231,5,Sequential LSTM
0.32694328,-0.18127911,0.39048472,-0.47063157,0.93448263,232,5,Sequential LSTM
-0.31586197,-0.3022828,0.7584424,-0.25539124,1.1150931,233,5,Sequential LSTM
-0.44386643,-0.5072715,1.386365,-0.18153797,0.7463109,234,5,Sequential LSTM
-0.18712808,-0.3990906,0.9681028,-0.3952352,1.0133508,235,5,Sequential LSTM
-0.33023912,-0.33275697,0.7238772,-0.23219252,1.1713116,236,5,Sequential LSTM
-0.26015893,-0.43216214,1.3180919,-0.264015,0.63824445,237,5,Sequential LSTM
-0.54659635,-0.33634454,0.2737298,1.0159215,0.5932892,238,5,Sequential LSTM
0.749615,0.046811175,-0.018214794,-0.47087097,0.69265985,239,5,Sequential LSTM
-0.46702266,-0.25706065,0.0938545,1.0541667,0.57606196,240,5,Sequential LSTM
0.22773343,-0.18236554,0.42342716,-0.48820662,1.0194116,241,5,Sequential LSTM
-0.2521255,-0.32490838,0.69920176,-0.25607425,1.1339061,242,5,Sequential LSTM
0.007918563,-0.48670006,1.324848,-0.42146927,0.575403,243,5,Sequential LSTM
-0.34982032,-0.5216669,1.7665749,-0.2034393,0.3083514,244,5,Sequential LSTM
-0.24018976,-0.76419497,2.0347283,-0.12949924,0.09915532,245,5,Sequential LSTM
-0.16911936,-0.22627416,0.45949474,-0.33788323,1.2737818,246,5,Sequential LSTM
-0.32437214,-0.10656149,-0.07708933,0.52057165,0.9874513,247,5,Sequential LSTM
-0.4257517,-0.50410444,1.4128937,-0.19778447,0.714747,248,5,Sequential LSTM
-0.33890453,-0.2562479,0.47649544,-0.15462765,1.2732846,249,5,Sequential LSTM
