Day,Actual_Returns,VaR_1_percent,VaR_5_percent,VaR_10_percent,Portfolio_Volatility,N_Assets,Model
94,1.1816024,3.5477266,2.3237593,1.6713359,1.7973093,5,Sequential RNN
95,0.24063586,6.9554143,5.3519893,4.4972997,2.3545144,5,Sequential RNN
96,1.9088696,7.73819,6.0488825,5.1484127,2.4806292,5,Sequential RNN
97,0.75520045,7.0940495,5.373465,4.4563246,2.526555,5,Sequential RNN
98,2.6360378,4.9909787,3.5762067,2.822077,2.0774906,5,Sequential RNN
99,0.88646454,4.8019395,3.3795028,2.6212869,2.0887485,5,Sequential RNN
100,3.6984057,7.760567,5.689541,4.585604,3.0411508,5,Sequential RNN
101,3.0617666,4.918999,3.477777,2.7095487,2.1163323,5,Sequential RNN
102,-1.0602912,8.031817,6.1842833,5.1994743,2.7129726,5,Sequential RNN
103,-2.072456,7.926213,5.5819874,4.332419,3.4423316,5,Sequential RNN
104,0.730281,5.5780406,3.6161034,2.570314,2.8809638,5,Sequential RNN
105,-1.7497914,5.896167,4.1993403,3.2948642,2.4916697,5,Sequential RNN
106,-1.0966927,7.0335584,4.9795604,3.8846984,3.0161486,5,Sequential RNN
107,-5.283162,7.213841,4.8843594,3.6426523,3.4206743,5,Sequential RNN
108,0.5974234,8.489956,6.0301933,4.7190456,3.6119828,5,Sequential RNN
109,-0.67453116,7.43074,5.3619914,4.259267,3.0378094,5,Sequential RNN
110,1.9073638,7.520896,5.8410106,4.945568,2.4667883,5,Sequential RNN
111,-8.177055,5.9477663,4.030182,3.0080347,2.815835,5,Sequential RNN
112,-5.6226363,2.9879568,1.9012702,1.3220222,1.5957233,5,Sequential RNN
113,2.866554,2.6048517,1.6202173,1.0953673,1.4458674,5,Sequential RNN
114,-2.3399515,5.198511,4.0424123,3.4261656,1.6976478,5,Sequential RNN
115,1.0517695,7.7145348,6.051692,5.1653304,2.4417682,5,Sequential RNN
116,-3.0484302,8.399753,6.4826245,5.460724,2.8151655,5,Sequential RNN
