Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Day,N_Assets,Model
0.012895834,-0.2459343,-0.6779988,-0.21899422,0.13269027,-0.2996603,-0.24317034,1.3201118,-0.47626442,1.6963245,72,10,Sequential RNN
-0.066556066,0.061440155,-0.54723585,0.33262387,0.06818176,-0.45659626,0.05811356,-0.34582683,-0.12482609,2.0206819,73,10,Sequential RNN
-0.013936112,0.082022496,-0.4005053,0.11437723,-0.01348334,-0.6190717,0.09165842,-0.2749654,0.19540295,1.8385005,74,10,Sequential RNN
-0.033656787,-0.3793188,-0.5890584,-0.32284972,0.273934,0.42640632,-0.32528466,1.8173776,-0.8817477,1.0141982,75,10,Sequential RNN
-0.08650241,-0.2772018,-0.5779729,-0.2831376,0.57029134,0.17403331,-0.2198918,1.2127244,-0.03979847,0.5274558,76,10,Sequential RNN
-0.023164937,-0.107711375,-0.5824232,-0.034752123,-0.0019013281,-0.7333153,-0.075136654,0.51808035,-0.18024236,2.2205667,77,10,Sequential RNN
0.013523674,-0.17270383,-0.59836286,-0.17578895,0.48066074,0.24434099,-0.09366372,0.6336144,-0.4848649,1.1532447,78,10,Sequential RNN
0.08433937,-0.049241837,-0.5296344,-0.043505773,0.047217503,-0.3137071,0.06447219,0.20466223,-0.43729916,1.9726967,79,10,Sequential RNN
-0.12291439,-0.07513265,-0.27581012,-0.08874389,0.7962349,-0.14121649,-0.14577207,0.38599098,0.12258901,0.5447748,80,10,Sequential RNN
0.047588173,-0.122668326,-0.6830114,-0.04832937,0.07349546,-0.17323397,-0.06688509,0.51557076,-0.64228266,2.099757,81,10,Sequential RNN
-0.028001955,0.032141596,-0.35722297,0.119818866,0.019907352,-0.47001907,-0.006194983,-0.0014975871,-0.150828,1.841897,82,10,Sequential RNN
-0.021544065,0.07930535,-0.31802842,0.15682481,0.026156567,-0.3965022,0.090557724,-0.27348128,-0.15309575,1.8098074,83,10,Sequential RNN
-0.09714276,-0.121384904,-0.32114303,0.009687482,0.52885264,0.030381031,-0.09777294,0.34779206,0.035272695,0.6854578,84,10,Sequential RNN
-0.03760169,-0.011845806,-0.44177747,0.011189385,0.0837171,-0.334965,0.016592743,0.18089505,-0.4097783,1.943574,85,10,Sequential RNN
0.028074903,0.08975355,-0.33197168,0.2430625,0.022791514,-0.47549325,0.15077198,-0.48360473,0.15152933,1.6050858,86,10,Sequential RNN
-0.11293765,-0.26738578,-0.4475798,-0.059455484,0.25135604,-0.070406474,-0.38849434,1.6440941,-0.58828056,1.0390897,87,10,Sequential RNN
-0.03955861,-0.14638205,-0.502813,-0.08018402,0.070491016,-0.5340941,-0.1238481,0.7204977,-0.32976952,1.9656606,88,10,Sequential RNN
0.12702587,0.08275903,-0.4756035,0.08216006,0.026280738,-0.6108425,0.102571115,-0.4620168,-0.122396335,2.2500622,89,10,Sequential RNN
-0.071121104,-0.29428342,-0.667939,-0.19119002,0.20827597,0.19045877,-0.1545505,1.2322043,-0.6896454,1.4377904,90,10,Sequential RNN
0.01024127,-0.20384032,-0.5298989,-0.18362916,0.4974245,1.3418111,-0.11062705,0.6965811,-0.6023425,0.084279865,91,10,Sequential RNN
0.03375563,-0.1698818,-0.40451837,-0.0890474,0.24217556,-0.41893423,-0.06735959,0.028825425,1.8909694,-0.045984235,92,10,Sequential RNN
0.043153103,-0.22772866,-0.44275433,-0.28131947,0.66033393,0.7470906,-0.050902847,0.7689775,-0.49951294,0.28266308,93,10,Sequential RNN
-0.031513978,-0.2160853,-0.61777943,-0.08193407,0.02516041,-0.5676762,-0.1479438,1.014259,-0.4988014,2.1223147,94,10,Sequential RNN
0.26245147,0.22847624,-0.1275412,0.5386684,-0.046447925,-0.41347793,0.345984,-1.726896,0.26089644,1.677887,95,10,Sequential RNN
0.16815391,-0.20285608,0.047583204,-0.35831237,0.5489087,-0.48554122,-0.1373557,0.058823988,1.7000118,-0.33941597,96,10,Sequential RNN
-0.04401703,0.06677116,-0.26335287,0.01313654,0.46728638,-0.12439354,0.18671344,-0.44417173,-0.13642883,1.2784564,97,10,Sequential RNN
-0.031029861,-0.3352148,-0.6319654,-0.17092384,0.051067773,-0.19463728,-0.21013737,1.452805,-0.66725624,1.7372915,98,10,Sequential RNN
-0.03302579,-0.19316761,-0.44205987,-0.03241317,0.0013140425,-0.7913593,-0.13562736,0.76270425,0.33517647,1.5284584,99,10,Sequential RNN
-0.035533976,-0.09436387,-0.51012194,-0.07393061,0.04967844,-0.44152755,-0.11387691,0.62115765,-0.32667196,1.9251907,100,10,Sequential RNN
0.026091065,0.09289578,-0.3074812,0.117988214,0.11771175,-0.46616107,0.11236427,-0.43411174,0.29494622,1.4457567,101,10,Sequential RNN
0.18115869,-0.28648055,-0.7095677,-0.32223406,0.6285246,0.17421156,-0.16311415,0.7986134,0.08876664,0.61012167,102,10,Sequential RNN
0.18649994,-0.08599308,-0.54863715,-0.041333567,0.1263655,-0.45228845,-0.15595832,0.48424968,-0.06363062,1.550726,103,10,Sequential RNN
-0.05848278,0.0188767,-0.4967721,0.037578654,0.030685212,-0.24094239,0.21707842,-0.0962869,-0.5642252,2.1524901,104,10,Sequential RNN
-0.07568142,-0.42449892,-0.5223598,-0.19476005,0.10201438,-0.607124,-0.34982193,1.8265687,0.11789818,1.1277641,105,10,Sequential RNN
0.030755995,-0.3462625,-0.8253035,-0.33522242,0.25302646,-0.18798065,-0.3532012,1.7689705,-0.5010688,1.4962866,106,10,Sequential RNN
0.019225093,0.029864425,-0.50310373,0.4278261,0.16408625,0.1822452,0.07989815,-0.4716542,-0.26167846,1.3332913,107,10,Sequential RNN
-0.02377724,-0.5396313,-0.77413255,-0.25546065,0.040850457,-0.5643549,-0.3949048,2.2206573,-0.5782534,1.8690076,108,10,Sequential RNN
-0.024071557,-0.25618312,-0.46147197,-0.112858966,0.055036727,-0.06675556,-0.12751663,1.0017154,-0.62053365,1.612639,109,10,Sequential RNN
0.512399,0.30966517,-0.3287017,0.31533435,0.2066086,-0.064855434,0.63629335,-1.7581311,0.2139559,0.9574318,110,10,Sequential RNN
-0.063321866,0.09747836,-0.14718483,0.056491278,0.046944607,-0.25702497,0.26796985,-0.5116364,-0.3775547,1.8878387,111,10,Sequential RNN
0.0035477257,-0.060127616,-0.40583098,-0.12658249,0.789226,-0.054389235,-0.04203825,0.18423457,-0.23248844,0.94444865,112,10,Sequential RNN
-0.052476987,0.46623895,0.43151477,0.4147123,0.010927333,0.21633326,1.1141464,-2.0431538,0.45434025,-0.0125822425,113,10,Sequential RNN
