Asset_1_Weight,Asset_2_Weight,Day,N_Assets,Model
0.9690785,0.030921496,208,2,BNN-DCC-GARCH
0.76304454,0.23695546,209,2,BNN-DCC-GARCH
0.931356,0.06864397,210,2,BNN-DCC-GARCH
0.9090856,0.09091445,211,2,BNN-DCC-GARCH
1.0702261,-0.070226096,212,2,BNN-DCC-GARCH
0.9147603,0.08523973,213,2,BNN-DCC-GARCH
0.9097953,0.09020469,214,2,BNN-DCC-GARCH
0.8115207,0.18847932,215,2,BNN-DCC-GARCH
0.82094157,0.1790584,216,2,BNN-DCC-GARCH
0.86946994,0.13053006,217,2,BNN-DCC-GARCH
1.0224937,-0.02249369,218,2,BNN-DCC-GARCH
0.90346754,0.096532494,219,2,BNN-DCC-GARCH
0.94638675,0.05361322,220,2,BNN-DCC-GARCH
0.8951773,0.104822695,221,2,BNN-DCC-GARCH
0.89030534,0.10969463,222,2,BNN-DCC-GARCH
1.1366942,-0.13669422,223,2,BNN-DCC-GARCH
1.1477115,-0.14771156,224,2,BNN-DCC-GARCH
0.72568184,0.27431813,225,2,BNN-DCC-GARCH
0.79024374,0.20975627,226,2,BNN-DCC-GARCH
0.81651026,0.18348974,227,2,BNN-DCC-GARCH
1.0855404,-0.085540414,228,2,BNN-DCC-GARCH
0.87234265,0.12765737,229,2,BNN-DCC-GARCH
0.8238527,0.17614728,230,2,BNN-DCC-GARCH
0.87575114,0.12424885,231,2,BNN-DCC-GARCH
0.9497567,0.050243292,232,2,BNN-DCC-GARCH
0.90207714,0.097922884,233,2,BNN-DCC-GARCH
0.981806,0.018193997,234,2,BNN-DCC-GARCH
0.88499767,0.11500232,235,2,BNN-DCC-GARCH
0.79578215,0.20421784,236,2,BNN-DCC-GARCH
1.1583878,-0.15838774,237,2,BNN-DCC-GARCH
1.0139197,-0.013919723,238,2,BNN-DCC-GARCH
0.9173217,0.08267832,239,2,BNN-DCC-GARCH
0.86034435,0.13965562,240,2,BNN-DCC-GARCH
0.907766,0.09223399,241,2,BNN-DCC-GARCH
0.89105606,0.108943954,242,2,BNN-DCC-GARCH
0.8308459,0.16915414,243,2,BNN-DCC-GARCH
0.82797986,0.17202011,244,2,BNN-DCC-GARCH
0.6754967,0.3245033,245,2,BNN-DCC-GARCH
0.74146926,0.2585307,246,2,BNN-DCC-GARCH
0.80771714,0.19228284,247,2,BNN-DCC-GARCH
0.943612,0.056388013,248,2,BNN-DCC-GARCH
0.74782014,0.25217986,249,2,BNN-DCC-GARCH
