Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Asset_16_Weight,Asset_17_Weight,Asset_18_Weight,Asset_19_Weight,Asset_20_Weight,Asset_21_Weight,Asset_22_Weight,Asset_23_Weight,Asset_24_Weight,Asset_25_Weight,Asset_26_Weight,Asset_27_Weight,Asset_28_Weight,Asset_29_Weight,Day,N_Assets,Model
0.072858654,-0.019531736,0.24813521,-0.16746067,-0.04039311,0.82148254,0.057693325,0.09942358,2.2837875,0.63313603,-1.6643628,0.103199355,0.33475205,1.5716177,-0.69530237,-0.1336798,0.34248164,-3.117472,-0.13676538,-0.22512668,1.4294238,0.11139106,0.3316165,1.3343588,0.51676625,-1.4735239,-0.20929219,0.11529683,-1.5245109,69,29,Sequential LSTM
0.080463246,-0.10344261,0.47334653,-0.0613607,0.1755017,0.9665573,-0.092359684,0.47530362,-0.15313765,0.29766798,-0.9635464,1.3122814,-0.2510189,1.016874,-0.04482688,-0.10653236,0.42916948,1.9181743,-0.17609428,0.15572132,0.7390192,0.45317757,-1.0312314,0.5128944,-0.054900907,0.09232869,-0.27251214,-0.21436661,-4.573151,70,29,Sequential LSTM
0.016989686,0.05987363,0.022612512,0.011480259,0.055412672,1.2463065,0.08804094,-0.21801847,0.08072682,0.54325575,-0.79787236,0.6335216,0.33418107,2.097544,-0.98971075,-0.1576209,-0.23553875,-2.4932404,0.022901196,0.0075694053,0.3229025,0.5100212,-0.40706554,0.7756614,0.007384127,0.9837614,-0.23546751,-0.10421706,-1.181395,71,29,Sequential LSTM
-0.12527968,0.072170936,-1.4257119,0.07357754,-0.55052906,1.0655516,0.27032408,-0.599493,1.7546625,2.10046,-2.120244,0.80810326,2.8997455,0.10161798,-0.83089066,-0.1554614,0.091925755,-1.9936836,-0.1884611,-1.6995884,0.49146327,0.99885184,-0.5002411,1.0116085,0.3049061,-1.4418311,-0.21204133,0.13530263,0.66318476,72,29,Sequential LSTM
0.15122062,0.014618191,0.6874134,-0.16396588,0.04640137,0.8316898,0.08902038,-0.1286819,3.9756558,0.948582,-1.5183023,0.6261383,-0.7082871,-1.4548944,0.7682764,0.034457494,-1.4489343,0.79628074,-0.16273847,-0.45066658,0.30508763,0.9741402,-0.2465813,0.54410475,0.16908422,-2.0178924,-0.1580636,0.24255717,-1.7457198,73,29,Sequential LSTM
0.20596752,-0.048844814,0.48494342,-0.074840106,0.17824095,0.58461356,0.15134768,0.054035477,1.3942546,2.344062,-0.82148176,-0.6046323,-1.0598404,0.110088214,-0.11375236,-0.06444223,0.37119812,0.09537539,0.26980105,-1.8129964,0.26050127,0.23304427,0.7131839,0.28748304,-0.23328537,-1.555643,-0.14935084,0.2531229,-0.4521533,74,29,Sequential LSTM
-0.069284074,0.16004011,-0.994054,0.0018189489,-0.5235361,0.7943108,0.29864356,-0.8299672,2.53082,1.005832,-1.2416575,0.9778165,2.0643716,-0.2858833,0.09931047,-0.09503058,-0.45119408,-1.6259973,-0.037116565,-0.51109046,0.13715354,0.52911943,-0.6227857,0.8160482,0.19925539,-1.1809102,0.06557346,0.20490475,-0.41651145,75,29,Sequential LSTM
0.058714412,0.03803789,0.0406266,-0.06587954,-0.06551939,1.3584324,0.09382495,-0.24391848,2.0272593,1.1057564,-1.0766522,1.1430167,0.061839856,1.4013194,-0.807773,-0.17540313,0.13461752,-3.5224285,-0.10119191,-0.27885935,0.88282037,0.77513975,-0.4854893,0.9759124,0.26291,-0.7010188,-0.22883947,0.2142448,-1.8215017,76,29,Sequential LSTM
0.04553829,0.12231217,0.091586344,-0.027642393,-0.08386435,0.7330173,0.090192735,-0.39048785,2.5299392,0.39795962,0.065332286,0.34477946,-0.45484608,-0.34794736,0.16224843,0.057557102,-0.8695512,-2.491785,0.04159756,0.16550921,0.43453884,0.24727358,0.00827929,0.25217068,0.80056554,-0.15717812,-0.041979462,0.12981912,-0.8549358,77,29,Sequential LSTM
-0.13177107,0.12678489,-1.1543615,-0.057490394,-0.5296074,0.23023947,0.10278999,-0.57855934,3.178842,0.6144138,-0.29486048,0.30865747,1.7497197,-0.33422115,0.034981374,0.040491953,-0.5382218,-2.5308988,0.085528105,-0.070862085,0.42083195,0.36706105,0.024539003,0.546844,0.610464,-1.1457059,0.21231952,0.24410982,-0.53205794,78,29,Sequential LSTM
