Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Day,N_Assets,Model
0.1559296,0.30643246,-0.12085992,0.012826433,0.6456714,46,5,BNN-DCC-GARCH
0.20742662,0.20348835,-0.09587089,0.069494195,0.6154617,47,5,BNN-DCC-GARCH
0.25278637,0.12817392,-0.079709455,0.102971986,0.59577715,48,5,BNN-DCC-GARCH
0.04602777,0.2505729,-0.07415874,0.18374115,0.59381694,49,5,BNN-DCC-GARCH
0.14359088,0.23813808,-0.09207309,0.09742304,0.61292106,50,5,BNN-DCC-GARCH
0.22465286,0.13921326,-0.07767877,0.119794354,0.5940183,51,5,BNN-DCC-GARCH
0.25311726,0.16632748,-0.09242464,0.06254585,0.61043406,52,5,BNN-DCC-GARCH
0.21640958,0.15060812,-0.07869449,0.11653484,0.59514195,53,5,BNN-DCC-GARCH
0.15234879,0.15541834,-0.06843484,0.17640842,0.5842593,54,5,BNN-DCC-GARCH
0.29124665,0.29998848,-0.14672357,-0.11887224,0.6743607,55,5,BNN-DCC-GARCH
0.097225636,0.13234632,-0.044250827,0.2565132,0.55816567,56,5,BNN-DCC-GARCH
0.093190074,0.14822483,-0.049824867,0.2443846,0.56402534,57,5,BNN-DCC-GARCH
-0.028367406,0.25497526,-0.05865782,0.25533122,0.57671875,58,5,BNN-DCC-GARCH
0.0700285,0.19687285,-0.061027847,0.21617629,0.57795024,59,5,BNN-DCC-GARCH
0.3321761,0.16091886,-0.110722676,-0.012548934,0.63017666,60,5,BNN-DCC-GARCH
0.28029963,0.13028003,-0.08757304,0.07271079,0.60428256,61,5,BNN-DCC-GARCH
0.16756158,0.12080545,-0.057908427,0.1977941,0.5717473,62,5,BNN-DCC-GARCH
0.14226693,0.12915184,-0.056181937,0.21448943,0.57027376,63,5,BNN-DCC-GARCH
0.22986588,0.12858343,-0.0749276,0.12617882,0.5902995,64,5,BNN-DCC-GARCH
0.4858429,0.20859115,-0.15839563,-0.21971022,0.6836718,65,5,BNN-DCC-GARCH
0.36301172,0.20334746,-0.13305181,-0.088867545,0.6555602,66,5,BNN-DCC-GARCH
0.39846045,0.15138108,-0.120612025,-0.07006793,0.64083844,67,5,BNN-DCC-GARCH
0.3018618,0.1516857,-0.09871597,0.027676236,0.61749226,68,5,BNN-DCC-GARCH
0.23594792,0.13306884,-0.07727524,0.11500805,0.59325045,69,5,BNN-DCC-GARCH
0.1915656,0.11569334,-0.061214846,0.1788363,0.5751196,70,5,BNN-DCC-GARCH
0.18300146,0.12638794,-0.06323818,0.1759593,0.5778895,71,5,BNN-DCC-GARCH
0.2294073,0.109189376,-0.067340575,0.14695238,0.5817915,72,5,BNN-DCC-GARCH
0.30115896,0.07833434,-0.07442467,0.10657401,0.5883574,73,5,BNN-DCC-GARCH
0.27766502,0.1742809,-0.10155239,0.029042426,0.62056404,74,5,BNN-DCC-GARCH
0.22384222,0.1539706,-0.08190785,0.10500285,0.5990922,75,5,BNN-DCC-GARCH
0.2008572,0.13742326,-0.07067373,0.1462789,0.58611435,76,5,BNN-DCC-GARCH
0.19951038,0.091032065,-0.056154527,0.19691701,0.56869507,77,5,BNN-DCC-GARCH
0.24316803,0.093801595,-0.06617207,0.14916998,0.58003247,78,5,BNN-DCC-GARCH
0.39444542,-0.03227718,-0.056068793,0.12874548,0.5651551,79,5,BNN-DCC-GARCH
0.42383847,0.3033266,-0.17591214,-0.256855,0.7056021,80,5,BNN-DCC-GARCH
0.37592638,0.22328655,-0.13717897,-0.12358239,0.66154844,81,5,BNN-DCC-GARCH
0.42550632,0.24799795,-0.15808238,-0.20001231,0.6845904,82,5,BNN-DCC-GARCH
0.13189591,0.34191203,-0.12610771,-0.0007161124,0.65301585,83,5,BNN-DCC-GARCH
0.15536806,0.20841672,-0.08505002,0.11723519,0.6040301,84,5,BNN-DCC-GARCH
0.17289497,0.21127705,-0.090996586,0.09622414,0.6106004,85,5,BNN-DCC-GARCH
0.32234243,0.027407521,-0.06145025,0.13918242,0.5725179,86,5,BNN-DCC-GARCH
0.2369578,0.12289528,-0.07519672,0.12477888,0.5905647,87,5,BNN-DCC-GARCH
0.29249415,0.080951236,-0.07418402,0.112788536,0.5879501,88,5,BNN-DCC-GARCH
0.343236,0.04547479,-0.07232202,0.09866497,0.5849463,89,5,BNN-DCC-GARCH
0.59119403,0.0698837,-0.13766603,-0.18024834,0.6568366,90,5,BNN-DCC-GARCH
0.32238868,0.18969744,-0.116243765,-0.03367443,0.63783205,91,5,BNN-DCC-GARCH
0.20102373,0.11491124,-0.06294852,0.17016535,0.5768482,92,5,BNN-DCC-GARCH
0.20575474,-0.087859884,0.0015065524,0.37930384,0.50129473,93,5,BNN-DCC-GARCH
0.29206726,0.1280999,-0.09009213,0.06304296,0.60688204,94,5,BNN-DCC-GARCH
0.22194916,0.14259177,-0.077193566,0.11937324,0.5932794,95,5,BNN-DCC-GARCH
0.5424643,0.102392055,-0.13562183,-0.16471614,0.6554816,96,5,BNN-DCC-GARCH
0.2068317,0.14814241,-0.07484288,0.12852082,0.59134793,97,5,BNN-DCC-GARCH
0.08558935,0.17143753,-0.056270998,0.22757764,0.5716665,98,5,BNN-DCC-GARCH
0.26260152,0.20297913,-0.10738727,0.013928371,0.62787825,99,5,BNN-DCC-GARCH
0.22417623,0.1777357,-0.09183775,0.07991115,0.6100147,100,5,BNN-DCC-GARCH
0.44363973,0.32211676,-0.18809754,-0.29708385,0.7194249,101,5,BNN-DCC-GARCH
0.50975436,0.19873495,-0.161249,-0.23310754,0.68586725,102,5,BNN-DCC-GARCH
0.3388433,0.11928236,-0.09567749,0.02478514,0.6127667,103,5,BNN-DCC-GARCH
0.47330427,0.08623906,-0.1199852,-0.07721099,0.6376529,104,5,BNN-DCC-GARCH
0.28436208,0.1182445,-0.08533956,0.081541836,0.60119116,105,5,BNN-DCC-GARCH
0.2597534,0.106387086,-0.07399961,0.118912056,0.58894706,106,5,BNN-DCC-GARCH
0.20575324,0.10468437,-0.060780864,0.17587066,0.5744726,107,5,BNN-DCC-GARCH
0.6973524,0.09645609,-0.16649075,-0.3164512,0.6891334,108,5,BNN-DCC-GARCH
0.30089393,0.11589211,-0.084826045,0.06697771,0.6010623,109,5,BNN-DCC-GARCH
0.45068935,-0.07256055,-0.0569385,0.11427822,0.5645315,110,5,BNN-DCC-GARCH
0.27083695,0.06031425,-0.061075587,0.15650079,0.57342356,111,5,BNN-DCC-GARCH
0.27884728,0.16201822,-0.092899434,0.03965975,0.6123742,112,5,BNN-DCC-GARCH
-0.07230751,0.23625971,-0.04481608,0.3191371,0.5617268,113,5,BNN-DCC-GARCH
0.20001437,-0.22706333,0.0472866,0.5325896,0.44717273,114,5,BNN-DCC-GARCH
0.17198828,-0.13771483,0.025957616,0.46603817,0.47373077,115,5,BNN-DCC-GARCH
-0.32861122,0.18660265,0.021780103,0.63278925,0.48743922,116,5,BNN-DCC-GARCH
0.60853386,0.26211205,-0.2131958,-0.40220138,0.74475133,117,5,BNN-DCC-GARCH
0.4897097,0.077092245,-0.11891713,-0.08378363,0.6358988,118,5,BNN-DCC-GARCH
0.26590684,0.07793507,-0.06506637,0.14371896,0.5775055,119,5,BNN-DCC-GARCH
0.15734741,0.23648804,-0.0912209,0.086016655,0.6113688,120,5,BNN-DCC-GARCH
0.53459257,0.14038526,-0.14859796,-0.19645621,0.6700763,121,5,BNN-DCC-GARCH
0.4602309,-0.55859154,0.08733903,0.61241084,0.39861077,122,5,BNN-DCC-GARCH
0.5939078,-0.5235906,0.06505528,0.44696486,0.4176627,123,5,BNN-DCC-GARCH
0.21862797,-0.6163995,0.17238195,0.9228548,0.30253482,124,5,BNN-DCC-GARCH
0.1526726,-0.5359854,0.15061104,0.8930615,0.33964023,125,5,BNN-DCC-GARCH
