Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Asset_16_Weight,Asset_17_Weight,Asset_18_Weight,Asset_19_Weight,Asset_20_Weight,Asset_21_Weight,Asset_22_Weight,Asset_23_Weight,Asset_24_Weight,Asset_25_Weight,Asset_26_Weight,Asset_27_Weight,Asset_28_Weight,Asset_29_Weight,Asset_30_Weight,Day,N_Assets,Model
0.2111643,-0.023588667,0.11771956,-0.07599265,0.1440985,0.40512162,-0.06402378,0.29349357,-0.12212406,0.06440303,-0.07195002,-0.29641482,-0.25946587,0.24799335,-0.11374907,0.01185156,0.17175893,-0.3103615,-0.13684282,-0.028057957,0.44451466,-0.124978326,0.6114681,0.016299915,-0.0141202845,0.2349482,-0.06437938,-0.033750467,-0.3578757,0.12284027,37,30,BNN-DCC-GARCH
-0.015220821,-0.024070144,-0.14256297,-0.030667208,-0.038612887,-0.10412385,-0.02666279,0.17019978,0.12043912,0.066067725,-0.032872062,-0.13233922,0.15097019,0.29466996,-0.32197025,0.0047879736,-0.3312941,-0.06874682,-0.076481186,-0.02743817,0.057287436,-0.12268239,0.07321627,-0.02112925,-0.09764142,0.13261634,-0.017183201,-0.01104295,1.3240602,0.24842674,38,30,BNN-DCC-GARCH
-0.03323872,-0.026615093,-0.26382962,-0.048533376,-0.084067956,0.14993012,-0.043426294,0.16964376,-0.018264486,-0.1871878,-0.17115438,-0.26338804,0.6099572,0.11095795,-0.23741083,-0.001752803,-0.18569477,0.68075544,-0.03547255,0.12861496,0.027903821,-0.1635553,0.1773241,-0.027413776,-0.0811573,0.014378858,-0.06682532,-0.04735156,0.60518616,0.31168768,39,30,BNN-DCC-GARCH
0.037201937,-0.050209675,0.0107596945,-0.036762804,0.024044028,-0.12796825,-0.038323447,0.21239108,0.29968143,0.20233624,-0.06638853,0.1294282,-0.16595855,0.4229298,-0.24863377,0.011894959,-0.43771258,-0.4962489,-0.15599503,-0.04987123,0.39112446,0.14035004,0.019529592,0.083678916,0.0007424637,0.30311057,0.0438332,0.08813905,0.19785412,0.25504315,40,30,BNN-DCC-GARCH
-0.024613835,-0.028938163,-0.09367301,-0.050399974,-0.005301587,-0.11589923,-0.050913535,0.20307952,0.093204625,-0.11227138,0.039978236,-0.06938362,0.027702585,0.26451167,-0.19221315,0.016899977,-0.3214865,-0.26121596,-0.11998567,0.33976823,0.07627286,-0.107336484,0.042698655,-0.022359902,0.08708868,0.18668664,0.05468328,0.023998603,0.69609475,0.42332336,41,30,BNN-DCC-GARCH
-0.04063863,-0.028972305,-0.19290425,-0.03432731,-0.020614132,-0.061544288,-0.06090364,0.19351795,-0.13052486,-0.048909083,0.17776611,-0.112079,0.14215319,0.12953128,-0.15701354,0.095596746,-0.33418027,0.029167246,-0.10453329,0.043117676,0.46828654,-0.25048622,0.08909968,-0.09097132,-0.023567617,0.42293254,-0.053557146,-0.09804536,0.6540655,0.39853755,42,30,BNN-DCC-GARCH
-0.021286119,-0.022623967,-0.34101102,-0.059819512,-0.10416488,0.016189074,-0.09352675,0.14709654,0.16793379,0.19107369,0.20316035,-0.023147555,0.30406722,0.382556,-0.2945824,0.023659656,-0.4073071,0.117904924,-0.08612886,-0.023431733,-0.045232654,-0.14548682,-0.049296547,-0.14449568,-0.04420163,0.16383962,0.0043586623,-0.042187028,0.78344154,0.44264898,43,30,BNN-DCC-GARCH
-0.018254437,-0.015412859,-0.18901177,-0.02371422,-0.065627635,-0.020117676,-0.048910737,0.08705033,-0.014091352,0.03943711,-0.026454253,-0.11993274,0.28323343,0.15985957,-0.20990834,0.050668076,-0.33009857,0.1408326,-0.09233346,-0.004913688,0.14262646,-0.24946614,0.06656553,-0.021306386,0.30951616,0.28187984,-0.03220483,-0.052567717,0.43808633,0.5345714,44,30,BNN-DCC-GARCH
-0.019295389,-0.01343957,-0.22726849,-0.0026633576,-0.06400214,0.06986059,-0.030216109,0.12265205,0.10429177,0.5028776,-0.025528595,0.044855095,0.23879169,0.4029665,-0.14604393,0.017192911,-0.19926175,0.19170557,-0.09937476,-0.20495047,0.36694962,-0.17951705,-0.031373613,-0.005957902,0.08249035,0.013675205,-0.089367695,-0.026794706,-0.07861988,0.2853664,45,30,BNN-DCC-GARCH
-0.026129775,-0.027794681,-0.06732454,-0.06984617,0.03427692,-0.20507759,0.02782189,0.17438534,0.18231353,0.9060808,-0.0870576,-0.74323946,-0.0971386,0.7184184,-0.20974311,0.023424756,-0.049020465,-0.18311107,0.08664921,-0.53688353,0.14756599,0.0013169049,0.85186994,0.07761327,0.012981674,-0.16561468,0.09932967,0.016859196,-0.202922,0.30999562,46,30,BNN-DCC-GARCH
