Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Day,N_Assets,Model
-0.4306802,0.012562007,-3.2521992,-0.0024367387,-0.9373287,0.13105015,0.00045424688,-0.18628828,0.120679915,0.22790553,-0.8461998,-0.086753175,6.0582976,0.04057554,0.1503598,89,15,Sequential RNN
-0.12148487,-0.110556625,-1.1127465,-0.12809849,-0.24420705,-0.071454585,-0.11784515,0.53775126,0.21200323,0.8136208,-0.21588701,-0.056421414,1.5385202,0.8491575,-0.772352,90,15,Sequential RNN
-0.08717284,-0.06933299,-1.1138313,-0.06893091,-0.35612965,1.1887214,-0.034731075,0.1738945,0.740236,0.13127337,-0.70695853,-0.07301435,1.9236274,0.48238716,-1.1300383,91,15,Sequential RNN
-0.37234023,-0.06838479,-2.7708917,-0.07927934,-0.8070657,0.38473156,-0.066817656,0.13920783,0.52559257,0.5587848,-0.43472177,0.035487,4.645698,-0.8546739,0.16467313,92,15,Sequential RNN
-0.30708548,-0.12567538,-1.5459583,-0.1625138,-0.59389496,0.13114664,-0.20605963,0.79898643,-0.07836229,-0.105821066,-0.4550104,-0.14604308,3.4246306,0.81506175,-0.44340137,93,15,Sequential RNN
-0.004052142,-0.18582605,-0.17652103,-0.071379915,0.013650335,0.32614577,-0.09505718,0.803694,-0.061740566,0.97607577,-0.3317935,-0.0484446,0.07192118,0.41893673,-0.63560903,94,15,Sequential RNN
-0.31919903,-0.015725248,-2.3764625,-0.02294568,-0.7287938,0.33994716,-0.009412037,-0.09519986,0.338772,-0.14990321,-0.96849763,-0.09035072,5.017973,-0.22371513,0.30351317,95,15,Sequential RNN
-0.347355,-0.13227387,-2.0832474,-0.12033017,-0.931039,0.5813597,-0.13175105,0.37230667,0.7446433,-0.23156077,-0.8419845,-0.23759454,4.2296104,1.826335,-1.6971184,96,15,Sequential RNN
-0.09848855,-0.10595958,-1.0176302,-0.10014879,-0.38257745,1.8312358,-0.071480066,0.40834835,0.93660307,-0.29397362,-0.9885221,0.011894017,2.1444907,-1.7052232,0.431432,97,15,Sequential RNN
-0.16239642,-0.14396143,-1.2341708,-0.12266092,-0.30642134,0.25143602,-0.14094259,0.7472366,-0.10862646,0.4891132,-0.40523842,-0.11031415,2.101861,0.9669268,-0.82184136,98,15,Sequential RNN
-0.1633442,-0.084402755,-1.1809801,-0.047961406,-0.23915443,-0.08318064,-0.088333465,0.46445838,0.016375653,0.84564567,-0.20730509,-0.02679237,1.8019634,0.41291207,-0.4199003,99,15,Sequential RNN
-0.17670596,0.020289602,-1.4390012,-0.0368303,-0.56243753,0.091779575,0.08820568,-0.23570612,0.20435585,0.40551868,-0.5346579,-0.08805789,2.9725199,1.0446658,-0.75393796,100,15,Sequential RNN
-0.35570088,0.015803726,-2.1712508,-0.056070823,-0.61681026,-0.15667042,0.23228392,-0.47623646,0.6421686,0.365703,-0.3375541,-0.057700586,3.7759168,1.1496943,-0.95357615,101,15,Sequential RNN
-0.27614874,-0.08326278,-1.9447807,-0.100406334,-0.65158576,0.70541626,-0.10328992,0.32697552,0.14087427,-0.08689198,-0.5612571,-0.15229136,3.7672455,1.0247486,-1.0053443,102,15,Sequential RNN
-0.30666652,-0.11322858,-1.8459042,-0.14949666,-0.56579965,0.039054886,-0.16842338,0.71078444,-0.19652204,0.12946467,-0.3560831,-0.16017061,3.4931688,1.2985982,-0.80877626,103,15,Sequential RNN
-0.0820583,-0.031452347,-0.651446,-0.023567772,-0.11570409,-0.064513445,-0.014617332,0.15225717,-0.07077349,1.2877933,0.00782895,0.0076327836,0.71725535,0.27333316,-0.39196795,104,15,Sequential RNN
-0.21662855,-0.09093771,-1.4149743,-0.07156609,-0.4665461,0.1706602,-0.069382995,0.22731915,0.38379788,0.37661353,-0.325776,-0.0036299662,2.6852577,0.3901828,-0.57438904,105,15,Sequential RNN
-0.16076498,-0.12244273,-1.1982235,-0.121271044,-0.33602348,0.67474073,-0.117146045,0.6603277,-0.001141896,0.40444112,-0.5854761,-0.09700704,2.1960633,0.5159691,-0.71204495,106,15,Sequential RNN
-0.2976414,-0.12423437,-1.6748058,-0.10434782,-0.558497,0.30848712,-0.18248121,0.61315006,0.107073374,0.05405296,-0.46484905,-0.115854464,3.3553936,0.75058687,-0.6660333,107,15,Sequential RNN
-0.2919126,-0.09451951,-1.9867961,-0.07252566,-0.5730101,0.084090106,-0.10252537,0.33525968,-0.054464545,0.1161362,-0.3009121,-0.14927647,3.7174485,1.1622651,-0.7892569,108,15,Sequential RNN
-0.19793224,-0.093625605,-1.427044,-0.051599517,-0.35700774,-0.12784672,-0.08571294,0.31430417,0.026429882,0.31855878,-0.17404455,-0.070907615,2.6848776,0.7337022,-0.49215192,109,15,Sequential RNN
-0.18110195,-0.1744413,-0.9882804,-0.17696692,-0.36064786,1.0038257,-0.23771468,1.1162101,-0.08627577,0.042767573,-0.4800245,-0.09450238,2.0010827,0.10418915,-0.48811883,110,15,Sequential RNN
-0.18475722,-0.054772474,-1.6677896,-0.05061582,-0.5188007,1.5901707,0.0008843014,0.053806406,0.40942407,-0.085050754,-0.6228111,-0.066238925,3.0166488,-0.15325834,-0.66683877,111,15,Sequential RNN
-0.266694,-0.09552249,-1.9118918,-0.046042684,-0.46750492,0.97576284,-0.08081854,0.31366807,0.23819235,-0.26003984,-0.7242253,-0.11112689,3.702912,-0.043067694,-0.22359948,112,15,Sequential RNN
-0.17234164,-0.14592302,-1.2936994,-0.11724778,-0.2527446,0.15856776,-0.1282619,0.7430359,-0.0056294007,-0.007391329,-0.2661657,-0.10180269,2.489234,0.34914714,-0.24877673,113,15,Sequential RNN
-0.25880072,-0.015796179,-1.6293057,-0.03986676,-0.65685076,0.22832464,-0.019549798,-0.098587215,0.4101497,-0.2534381,-0.61728644,-0.11599844,3.8498044,0.6352142,-0.41801307,114,15,Sequential RNN
