Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Day
-0.42317387,-0.09656162,0.37552312,0.21156861,0.7701659,1.3568414,0.19687863,-0.91103595,-0.60946923,0.12926292,95
-0.2539671,-0.23476124,0.019310959,-0.13670556,0.77610636,1.4869977,-0.05350232,0.23237781,-0.67261386,-0.16324286,96
-0.20624737,-0.09594691,0.07014244,0.036363855,0.5464231,1.2233526,0.090135835,-0.2993445,-0.55607367,0.19119468,97
-0.35328704,0.04590717,0.25075516,0.20263255,0.90403247,0.6395821,0.26998362,-1.1163175,-0.48132575,0.6380372,98
-0.25925177,-0.08098523,0.3808951,0.22587314,0.42774028,0.75471467,0.20258477,-0.69666064,-0.5692014,0.6142911,99
-0.44613352,-0.046806708,0.102447025,0.49898428,0.7852717,2.4620638,0.20949325,-0.5405057,0.11061044,-2.1354244,100
-0.5638014,-0.14666545,-0.17026138,0.02374577,0.9151819,1.843399,-0.36896488,0.8760656,-0.44738021,-0.96131897,101
-0.5746352,-0.35501838,-0.1612257,-0.14943199,0.6214035,2.320337,-0.32474905,1.2312169,-0.51693803,-1.0909591,102
-0.44415984,-0.26558688,-0.16445334,-0.22236958,0.76217556,1.908453,-0.29258603,1.0256418,-0.39937663,-0.90773803,103
-0.18904234,-0.3359137,-0.13358141,-0.30648297,0.4860236,1.7906623,-0.31111205,1.2271463,-0.45811415,-0.76958567,104
-0.24157704,-0.2563598,-0.1709536,-0.30723724,0.547308,1.6079507,-0.27368665,1.0764327,-0.5586329,-0.42324424,105
0.001914958,-0.2979969,-0.41413075,-0.39963764,0.47184694,1.5869149,-0.27707854,1.1986775,-0.49391767,-0.37659287,106
0.28739145,-0.37098378,-0.35374352,-0.29024637,0.2831656,1.5086523,-0.26687202,0.9098638,-0.2605343,-0.44669327,107
0.27182025,-0.35958964,-0.29447687,-0.7086753,0.2661385,1.3621767,-0.17487945,1.3367305,-0.6182959,-0.080948636,108
0.18832311,-0.3650408,-0.3412194,-0.56497806,0.14263746,1.0845187,-0.24838409,1.5109687,-0.6254176,0.21859196,109
0.21233554,-0.25784713,-0.14435491,-0.39014006,0.14271984,0.4366792,-0.2800462,1.0264822,-0.6044913,0.8586628,110
0.080006644,-0.16764726,-0.22025478,-0.37070566,0.063537054,1.1499634,-0.35478914,1.2529457,-0.5034534,0.070397586,111
0.2184257,-0.016390665,-1.0329425,-0.53913987,0.20636486,1.4640889,-0.060816117,0.733224,-0.24790727,0.27509302,112
-0.51631093,-0.45798367,-1.3663934,-0.72357124,0.26372412,1.1762433,-1.3361782,4.8052254,-1.1093229,0.2645677,113
-0.88629884,-0.6307743,-0.96013856,-1.2089199,0.33961716,0.8334473,-1.6914849,6.3260217,-1.2817268,0.16025732,114
-0.5887632,-0.3204612,-0.69673705,-0.87099236,0.34819773,0.19963573,-0.5721118,4.0605803,-1.4515618,0.89221376,115
