Asset_1_Weight,Asset_2_Weight,Asset_3_Weight,Asset_4_Weight,Asset_5_Weight,Asset_6_Weight,Asset_7_Weight,Asset_8_Weight,Asset_9_Weight,Asset_10_Weight,Asset_11_Weight,Asset_12_Weight,Asset_13_Weight,Asset_14_Weight,Asset_15_Weight,Day
-0.11821528,-0.085972264,0.14701761,0.0075751045,0.61349064,0.50067383,0.14732754,-0.4601635,-0.30063117,0.2751651,0.23320217,-0.23456071,0.06738689,0.04717378,0.16053021,99
0.017256835,-0.014118574,0.053673204,0.047379445,0.76230556,0.5645617,0.26315373,-0.7106885,-0.12818187,-0.041533493,-0.029464854,-0.7229211,0.33314055,0.4342839,0.17115346,100
0.10957424,0.04267438,0.13759652,-0.124391586,0.7121289,0.49441552,0.024703054,-0.24971591,-0.47985384,-0.113817126,-0.1628828,-0.41911572,0.23539022,0.627168,0.16612615,101
0.057348005,-0.06849632,0.041508004,-0.20774569,0.59290785,0.674318,0.027995445,-0.18967238,-0.46796024,-0.026970562,0.24341042,-0.57424486,0.28175047,0.60424185,0.011609968,102
0.041805092,-0.08105391,-0.01857814,-0.20998462,0.6018534,0.6869739,0.010953455,-0.13359916,-0.37535408,-0.046141952,0.20836404,-0.5292823,0.28098622,0.5398085,0.023249473,103
0.10720814,-0.091821164,-0.05105876,-0.25830683,0.56020147,0.70453596,0.008536712,-0.08987485,-0.30587995,-0.032377433,0.2465023,-0.5142913,0.23600353,0.47281054,0.007811599,104
0.10483416,-0.09480037,-0.062042173,-0.23136403,0.487276,0.7157846,-0.0026270573,-0.045023795,-0.28179199,-0.050685223,0.24455868,-0.4749847,0.2515733,0.4439996,-0.004706963,105
0.071785204,-0.08992628,-0.06660914,-0.21602887,0.46095872,0.6697057,-0.015327133,-0.032871947,-0.28669086,-0.023206547,0.25266397,-0.45207128,0.28595528,0.45589885,-0.014235641,106
0.19909729,-0.13609804,-0.12942894,-0.22378759,0.34565732,0.68201673,-0.011455432,-0.005786153,-0.13344444,0.00832823,0.39461175,-0.4515496,0.20571385,0.52951807,-0.273393,107
0.36359316,-0.16378187,0.078206316,-0.4077408,0.32310814,0.8349608,0.13574538,-0.14342164,-0.21776141,0.18065688,-0.10245136,-0.42628372,0.2585086,0.41856268,-0.13190116,108
0.29745406,-0.1786867,0.10857117,-0.3893508,0.27730468,0.71310693,0.13525596,0.011928955,-0.06301505,0.22941443,-0.19886951,-0.2928965,0.12368811,0.44320822,-0.21711391,109
0.267349,-0.10974403,0.10166346,-0.30442664,0.18739942,0.6257508,0.043138713,-0.021504361,-0.085515425,0.3344411,-0.1066759,-0.33427617,0.27891237,0.36000192,-0.23651424,110
0.20151813,-0.10538474,0.05989656,-0.27450892,0.1603415,0.6769662,0.02150958,0.05143223,-0.15846744,0.2178721,-0.08183941,-0.32684222,0.21704632,0.39344308,-0.05298296,111
0.357847,-0.015492596,-0.27397397,-0.3450299,0.44006202,0.2793739,0.09835362,0.023512421,-0.06447507,0.41322437,-0.45332366,-0.09412755,0.11326853,0.2392505,0.28153035,112
